Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22.0,SYR,NBA,PF,80.0,,15.5,3.5,7.6,0.465,,,,3.5,7.6,0.465,0.465,1.9,3.0,0.622,,,5.8,0.7,,,2.1,8.9
1963-64,23.0,TOT,NBA,PF,79.0,,31.7,6.7,15.0,0.448,,,,6.7,15.0,0.448,0.448,3.6,5.1,0.715,,,9.8,1.1,,,2.7,17.1
1963-64,23.0,PHI,NBA,,1.0,,16.0,0.0,2.0,0.0,,,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,,,4.0,0.0,,,2.0,1.0
1963-64,23.0,NYK,NBA,PF,78.0,,31.9,6.8,15.2,0.449,,,,6.8,15.2,0.449,0.449,3.7,5.1,0.716,,,9.8,1.1,,,2.7,17.3
1964-65,24.0,NYK,NBA,C,43.0,,15.2,3.4,8.5,0.395,,,,3.4,8.5,0.395,0.395,1.6,2.3,0.68,,,3.3,0.3,,,1.7,8.3
1965-66,25.0,NYK,NBA,PF,46.0,,11.8,2.2,5.2,0.42,,,,2.2,5.2,0.42,0.42,1.0,1.7,0.59,,,2.8,0.6,,,1.4,5.3
1966-67,26.0,TOT,NBA,"C,PF",73.0,,9.7,1.8,4.3,0.422,,,,1.8,4.3,0.422,0.422,0.7,1.1,0.654,,,2.6,0.5,,,1.4,4.3
1966-67,26.0,CHI,NBA,PF,19.0,,9.4,2.1,4.7,0.449,,,,2.1,4.7,0.449,0.449,0.7,1.1,0.667,,,2.0,0.6,,,1.6,4.9
1966-67,26.0,CIN,NBA,C,54.0,,9.8,1.7,4.1,0.411,,,,1.7,4.1,0.411,0.411,0.7,1.1,0.65,,,2.8,0.4,,,1.4,4.1
1967-68,27.0,TOT,NBA,"C,PF",67.0,,15.9,3.5,6.8,0.513,,,,3.5,6.8,0.513,0.513,2.1,2.9,0.711,,,5.4,0.8,,,1.8,9.1
1967-68,27.0,CIN,NBA,PF,10.0,,6.5,1.5,3.0,0.5,,,,1.5,3.0,0.5,0.5,0.8,1.0,0.8,,,1.5,0.5,,,0.6,3.8
1967-68,27.0,DET,NBA,C,57.0,,17.5,3.9,7.5,0.514,,,,3.9,7.5,0.514,0.514,2.3,3.2,0.707,,,6.1,0.8,,,2.0,10.0
1968-69,28.0,MIL,NBA,PF,80.0,,27.6,5.7,12.6,0.454,,,,5.7,12.6,0.454,0.454,3.1,4.2,0.737,,,8.0,1.2,,,3.1,14.6
1969-70,29.0,MIL,NBA,SF,75.0,,15.1,3.2,7.0,0.465,,,,3.2,7.0,0.465,0.465,1.8,2.8,0.64,,,3.7,0.7,,,1.7,8.3
1970-71,30.0,TOT,NBA,PF,48.0,,11.2,1.8,4.1,0.432,,,,1.8,4.1,0.432,0.432,1.5,1.8,0.807,,,3.1,0.4,,,1.5,5.1
1970-71,30.0,CLE,NBA,,6.0,,14.3,2.5,6.3,0.395,,,,2.5,6.3,0.395,0.395,1.8,2.3,0.786,,,3.0,0.2,,,1.5,6.8
1970-71,30.0,ATL,NBA,PF,42.0,,10.7,1.7,3.8,0.441,,,,1.7,3.8,0.441,0.441,1.4,1.8,0.811,,,3.2,0.4,,,1.5,4.8
1971-72,31.0,DLC,ABA,PF,79.0,,17.8,2.9,6.5,0.452,0.0,0.0,,2.9,6.5,0.452,0.452,1.8,2.4,0.746,1.8,2.2,4.0,0.9,,0.8,2.0,7.7
Career,,,TOT,,670.0,,17.9,3.6,8.1,0.452,0.0,0.0,,3.6,8.1,0.452,0.452,2.0,2.9,0.697,1.8,2.2,5.1,0.8,,0.8,2.0,9.3
,,,NBA,,591.0,,17.9,3.7,8.3,0.452,,,,3.7,8.3,0.452,0.452,2.0,2.9,0.691,,,5.3,0.7,,,2.0,9.5
,,,ABA,,79.0,,17.8,2.9,6.5,0.452,0.0,0.0,,2.9,6.5,0.452,0.452,1.8,2.4,0.746,1.8,2.2,4.0,0.9,,0.8,2.0,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
