Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,24.0,BOS,NBA,,66.0,,,3.1,9.1,0.344,3.0,4.0,0.753,8.5,2.6,3.3,9.3
1951-52,25.0,BOS,NBA,SF,66.0,,29.9,3.0,8.3,0.361,2.3,3.0,0.741,7.6,2.0,3.3,8.2
1952-53,26.0,BOS,NBA,SF,70.0,,28.5,2.2,6.7,0.337,2.1,2.7,0.758,6.3,1.6,3.7,6.5
1953-54,27.0,BOS,NBA,SF,70.0,,15.7,1.1,3.7,0.299,1.1,1.7,0.672,4.3,1.1,2.1,3.3
1954-55,28.0,MLH,NBA,PF,70.0,,25.0,2.8,8.1,0.339,2.7,3.6,0.751,5.5,2.2,3.0,8.2
1955-56,29.0,TOT,NBA,SF,67.0,,17.1,1.5,4.6,0.328,1.5,2.0,0.752,3.6,1.3,2.1,4.5
1955-56,29.0,STL,NBA,,35.0,,16.4,1.7,4.9,0.337,1.8,2.4,0.738,3.9,1.7,2.0,5.1
1955-56,29.0,FTW,NBA,SF,32.0,,17.8,1.3,4.3,0.316,1.2,1.5,0.776,3.2,0.9,2.2,3.9
Career,,,NBA,,409.0,,23.2,2.3,6.7,0.339,2.1,2.8,0.743,5.9,1.8,2.9,6.7
,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,272.0,,24.6,2.3,6.9,0.341,2.1,2.8,0.739,6.6,1.8,3.1,6.8
2 seasons,,"MLH,STL",NBA,,105.0,,22.1,2.4,7.1,0.339,2.4,3.2,0.748,5.0,2.0,2.7,7.2
1 season,,FTW,NBA,,32.0,,17.8,1.3,4.3,0.316,1.2,1.5,0.776,3.2,0.9,2.2,3.9
