Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,23.0,BOS,NBA,C,54.0,,10.6,1.9,5.0,0.368,1.1,1.4,0.784,,,4.9,0.4,,,2.5,4.8
1965-66,24.0,BOS,NBA,C,67.0,,15.2,3.3,8.2,0.403,1.8,2.2,0.828,,,6.4,0.7,,,3.1,8.4
1966-67,25.0,TOT,NBA,C,56.0,,15.4,3.2,7.5,0.422,1.2,1.7,0.734,,,6.1,0.9,,,3.3,7.6
1966-67,25.0,BAL,NBA,C,25.0,,13.7,2.6,6.7,0.389,1.2,1.6,0.725,,,6.2,1.2,,,3.2,6.4
1966-67,25.0,LAL,NBA,C,31.0,,16.7,3.6,8.1,0.444,1.3,1.7,0.741,,,6.1,0.7,,,3.3,8.5
1967-68,26.0,LAL,NBA,PF,82.0,,21.2,4.7,9.9,0.475,2.3,3.1,0.748,,,8.9,1.7,,,3.8,11.7
1968-69,27.0,LAL,NBA,PF,77.0,,24.2,5.1,11.3,0.45,2.3,2.9,0.805,,,7.8,1.4,,,2.9,12.4
1969-70,28.0,LAL,NBA,C,81.0,,27.1,5.4,12.6,0.427,1.9,2.5,0.776,,,8.4,2.0,,,3.8,12.6
1970-71,29.0,PHO,NBA,C,80.0,,20.9,4.6,10.0,0.457,1.9,2.5,0.753,,,6.3,1.7,,,3.5,11.0
1971-72,30.0,PHO,NBA,C,76.0,,11.9,1.9,4.5,0.427,1.3,1.8,0.721,,,3.4,1.3,,,2.1,5.2
1972-73,31.0,TOT,NBA,C,66.0,,10.0,2.0,4.5,0.449,0.6,0.9,0.672,,,3.8,1.0,,,1.6,4.6
1972-73,31.0,PHI,NBA,C,7.0,,6.7,0.7,2.3,0.313,0.0,0.0,,,,2.3,0.4,,,1.1,1.4
1972-73,31.0,LAL,NBA,C,59.0,,10.4,2.2,4.7,0.457,0.7,1.0,0.672,,,4.0,1.1,,,1.7,5.0
1973-74,32.0,LAL,NBA,C,45.0,,11.1,1.4,3.7,0.365,0.5,0.7,0.727,1.2,2.0,3.2,1.2,0.4,0.5,1.9,3.2
1974-75,33.0,NOJ,NBA,C,75.0,,18.9,2.9,6.6,0.438,1.1,1.5,0.761,1.4,4.5,5.9,2.4,0.7,0.6,2.6,6.9
1975-76,34.0,NOJ,NBA,C,30.0,,10.6,1.2,3.0,0.407,0.5,0.7,0.762,0.9,2.4,3.3,1.3,0.5,0.3,2.5,3.0
Career,,,NBA,,789.0,,17.4,3.4,7.8,0.435,1.5,2.0,0.764,1.2,3.3,6.0,1.4,0.6,0.5,2.9,8.3
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,LAL,NBA,,375.0,,19.8,4.0,9.0,0.445,1.7,2.2,0.764,1.2,2.0,6.9,1.5,0.4,0.5,3.0,9.7
2 seasons,,PHO,NBA,,156.0,,16.5,3.3,7.3,0.448,1.6,2.2,0.74,,,4.9,1.5,,,2.8,8.2
2 seasons,,BOS,NBA,,121.0,,13.2,2.7,6.8,0.391,1.5,1.8,0.813,,,5.8,0.6,,,2.8,6.8
2 seasons,,NOJ,NBA,,105.0,,16.6,2.4,5.6,0.433,1.0,1.3,0.761,1.2,3.9,5.2,2.1,0.6,0.5,2.6,5.8
1 season,,BAL,NBA,,25.0,,13.7,2.6,6.7,0.389,1.2,1.6,0.725,,,6.2,1.2,,,3.2,6.4
1 season,,PHI,NBA,,7.0,,6.7,0.7,2.3,0.313,0.0,0.0,,,,2.3,0.4,,,1.1,1.4
