Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22.0,KCO,NBA,SG,52,,19.0,2.1,5.1,.402,,,,2.1,5.1,.402,.402,0.6,0.9,.702,0.5,1.3,1.8,2.4,1.4,0.3,,2.2,4.8
1974-75,23.0,KCO,NBA,SG,67,,11.3,1.0,2.6,.399,,,,1.0,2.6,.399,.399,0.4,0.5,.778,0.2,1.0,1.1,1.6,1.0,0.2,,1.6,2.5
1975-76,24.0,TOT,TOT,SG,59,,15.2,1.4,3.2,.444,0.0,0.1,.000,1.4,3.1,.454,.444,0.4,0.5,.750,0.3,1.2,1.5,2.2,1.2,0.2,0.8,2.6,3.2
1975-76,24.0,KCK,NBA,SG,9,,11.2,0.8,3.0,.259,,,,0.8,3.0,.259,.259,0.2,0.2,1.000,0.4,1.1,1.6,1.8,1.1,0.0,,2.0,1.8
1975-76,24.0,SSL,ABA,SG,50,,16.0,1.5,3.2,.475,0.0,0.1,.000,1.5,3.2,.487,.475,0.4,0.5,.731,0.3,1.2,1.5,2.3,1.3,0.3,0.9,2.7,3.5
1976-77,25.0,SAS,NBA,SG,2,,4.5,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.5,1.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.5
1977-78,26.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,TOT,,180,,14.8,1.5,3.5,.414,0.0,0.1,,1.5,3.5,.416,.414,0.5,0.6,.735,0.3,1.1,1.5,2.0,1.2,0.2,0.9,2.1,3.4
,,,NBA,,130,,14.3,1.4,3.6,.392,,,,1.4,3.6,.392,.392,0.5,0.7,.736,0.3,1.1,1.4,1.9,1.2,0.2,,1.8,3.3
,,,ABA,,50,,16.0,1.5,3.2,.475,0.0,0.1,.000,1.5,3.2,.487,.475,0.4,0.5,.731,0.3,1.2,1.5,2.3,1.3,0.3,0.9,2.7,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"KCO,KCK",NBA,,128,,14.4,1.4,3.6,.393,,,,1.4,3.6,.393,.393,0.5,0.7,.741,0.3,1.1,1.4,1.9,1.2,0.2,,1.8,3.4
1 season,,SSL,ABA,,50,,16.0,1.5,3.2,.475,0.0,0.1,.000,1.5,3.2,.487,.475,0.4,0.5,.731,0.3,1.2,1.5,2.3,1.3,0.3,0.9,2.7,3.5
1 season,,SAS,NBA,,2,,4.5,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.5,1.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.5
