Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22.0,DET,NBA,SF,80.0,,29.4,5.1,11.8,0.43,2.6,3.6,0.718,,,8.7,2.6,,,3.1,12.7
1963-64,23.0,DET,NBA,SF,15.0,,20.3,3.5,8.9,0.391,1.7,2.9,0.581,,,7.0,1.5,,,2.1,8.6
1964-65,24.0,DET,NBA,PF,79.0,,35.1,6.4,15.1,0.425,3.9,5.5,0.7,,,11.1,3.2,,,3.1,16.7
1965-66,25.0,DET,NBA,SF,79.0,,34.1,6.6,16.3,0.408,3.2,4.8,0.659,,,11.6,2.6,,,3.2,16.4
1966-67,26.0,DET,NBA,SF,78.0,,37.1,6.8,16.4,0.415,4.6,6.6,0.705,,,11.8,2.8,,,3.8,18.2
1967-68,27.0,DET,NBA,SF,80.0,,39.1,7.2,16.2,0.442,3.6,5.4,0.664,,,13.5,2.3,,,3.8,17.9
1968-69,28.0,TOT,NBA,PF,76.0,,38.7,6.7,15.0,0.444,3.0,4.3,0.698,,,11.7,2.5,,,3.8,16.3
1968-69,28.0,DET,NBA,PF,29.0,,37.7,6.5,14.6,0.447,3.2,4.5,0.723,,,12.2,2.2,,,3.8,16.3
1968-69,28.0,NYK,NBA,PF,47.0,,39.4,6.7,15.3,0.442,2.9,4.2,0.682,,,11.4,2.7,,,3.8,16.4
1969-70,29.0,NYK,NBA,PF,79.0,,33.3,6.2,13.7,0.451,2.2,3.2,0.688,,,10.0,2.5,,,3.1,14.6
1970-71,30.0,NYK,NBA,PF,81.0,,35.7,6.5,15.3,0.421,2.7,3.9,0.696,,,11.1,2.7,,,2.9,15.6
1971-72,31.0,NYK,NBA,PF,80.0,,38.4,6.5,15.2,0.427,2.4,3.3,0.728,,,11.3,3.6,,,2.7,15.4
1972-73,32.0,NYK,NBA,PF,77.0,,36.7,6.9,15.9,0.435,2.5,3.4,0.746,,,10.2,3.4,,,2.8,16.3
1973-74,33.0,NYK,NBA,PF,71.0,,38.0,7.9,17.1,0.461,2.3,3.1,0.756,1.9,8.8,10.7,3.6,0.9,0.5,3.1,18.1
Career,,,NBA,,875.0,,35.7,6.5,15.1,0.432,3.0,4.3,0.699,1.9,8.8,11.0,2.9,0.9,0.5,3.2,16.1
,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DET,NBA,,440.0,,34.6,6.3,14.9,0.425,3.5,5.1,0.689,,,11.2,2.6,,,3.4,16.1
6 seasons,,NYK,NBA,,435.0,,36.7,6.8,15.4,0.439,2.5,3.5,0.716,1.9,8.8,10.7,3.1,0.9,0.5,3.0,16.0
