Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23.0,BUF,NBA,PG,81.0,,35.9,6.5,15.6,0.421,2.1,2.4,0.902,0.6,2.1,2.7,8.2,0.7,0.1,,3.0,15.2
1974-75,24.0,BUF,NBA,PG,31.0,,23.0,3.3,7.5,0.44,1.1,1.5,0.778,0.2,1.3,1.5,4.9,0.6,0.0,,2.0,7.8
1975-76,25.0,BUF,NBA,PG,67.0,,20.4,2.7,7.1,0.384,1.3,1.4,0.915,0.2,1.4,1.7,4.0,0.6,0.0,,2.4,6.7
1976-77,26.0,BUF,NBA,PG,81.0,,28.0,4.5,10.8,0.417,1.7,1.8,0.945,0.6,1.6,2.3,4.7,0.7,0.0,,1.9,10.7
1977-78,27.0,TOT,NBA,PG,52.0,,11.7,1.7,4.0,0.421,0.5,0.6,0.848,0.1,0.8,1.0,2.6,0.3,0.0,1.8,0.8,3.9
1977-78,27.0,LAL,NBA,PG,25.0,,13.3,1.6,4.0,0.41,0.6,0.8,0.8,0.2,0.7,0.9,2.8,0.2,0.0,1.8,0.9,3.9
1977-78,27.0,BOS,NBA,PG,27.0,,10.1,1.7,4.0,0.431,0.4,0.5,0.923,0.1,0.9,1.0,2.4,0.4,0.0,1.7,0.8,3.9
Career,,,NBA,,312.0,,25.2,4.1,9.8,0.415,1.5,1.6,0.902,0.4,1.5,2.0,5.1,0.6,0.0,1.8,2.1,9.6
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BUF,NBA,,260.0,,27.9,4.5,10.9,0.415,1.7,1.8,0.906,0.5,1.7,2.2,5.6,0.7,0.1,,2.4,10.7
1 season,,BOS,NBA,,27.0,,10.1,1.7,4.0,0.431,0.4,0.5,0.923,0.1,0.9,1.0,2.4,0.4,0.0,1.7,0.8,3.9
1 season,,LAL,NBA,,25.0,,13.3,1.6,4.0,0.41,0.6,0.8,0.8,0.2,0.7,0.9,2.8,0.2,0.0,1.8,0.9,3.9
