Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1970-71,23.0,DET,NBA,PF,69,,18.2,1.9,4.6,.415,,,,1.9,4.6,.415,.415,1.6,2.2,.701,,,5.8,0.8,,,,3.1,5.4
1971-72,24.0,BAL,NBA,PF,40,,7.8,1.0,2.6,.385,,,,1.0,2.6,.385,.385,0.7,1.0,.692,,,2.7,0.6,,,,1.3,2.7
1972-73,25.0,TOT,NBA,"C,PF",60,,16.1,2.3,5.5,.428,,,,2.3,5.5,.428,.428,0.7,1.0,.694,,,5.0,0.9,,,,2.4,5.4
1972-73,25.0,BAL,NBA,PF,1,,5.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,0.0,0.0,,,,3.0,0.0,,,,1.0,0.0
1972-73,25.0,MIL,NBA,C,59,,16.3,2.4,5.5,.429,,,,2.4,5.5,.429,.429,0.7,1.1,.694,,,5.0,0.9,,,,2.4,5.5
1973-74,26.0,MIL,NBA,PF,64,,10.9,1.4,2.9,.471,,,,1.4,2.9,.471,.471,0.5,0.7,.652,1.1,2.0,3.1,0.8,0.3,0.3,,1.9,3.2
1974-75,27.0,TOT,TOT,PF,41,,9.8,1.2,3.3,.363,0.0,0.0,,1.2,3.3,.363,.363,0.5,0.7,.724,1.1,1.5,2.5,0.9,0.2,0.1,0.7,1.4,2.9
1974-75,27.0,MIL,NBA,PF,11,,4.7,0.3,1.2,.231,,,,0.3,1.2,.231,.231,0.1,0.2,.500,0.6,0.8,1.5,0.3,0.1,0.0,,0.6,0.6
1974-75,27.0,SSL,ABA,PF,30,,11.7,1.5,4.1,.377,0.0,0.0,,1.5,4.1,.377,.377,0.7,0.9,.741,1.2,1.7,2.9,1.1,0.3,0.2,0.9,1.7,3.7
Career,,,TOT,,274,,13.3,1.6,3.9,.419,0.0,0.0,,1.6,3.9,.419,.419,0.8,1.2,.694,1.1,1.8,4.1,0.8,0.3,0.2,0.9,2.1,4.1
,,,NBA,,244,,13.4,1.7,3.9,.425,,,,1.7,3.9,.425,.425,0.9,1.2,.690,1.1,1.8,4.2,0.8,0.3,0.2,,2.2,4.2
,,,ABA,,30,,11.7,1.5,4.1,.377,0.0,0.0,,1.5,4.1,.377,.377,0.7,0.9,.741,1.2,1.7,2.9,1.1,0.3,0.2,0.9,1.7,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,134,,12.7,1.7,3.9,.439,,,,1.7,3.9,.439,.439,0.6,0.8,.673,1.1,1.8,3.8,0.8,0.3,0.2,,2.0,4.0
1 season,,DET,NBA,,69,,18.2,1.9,4.6,.415,,,,1.9,4.6,.415,.415,1.6,2.2,.701,,,5.8,0.8,,,,3.1,5.4
2 seasons,,BAL,NBA,,41,,7.8,1.0,2.6,.381,,,,1.0,2.6,.381,.381,0.7,1.0,.692,,,2.7,0.6,,,,1.3,2.6
1 season,,SSL,ABA,,30,,11.7,1.5,4.1,.377,0.0,0.0,,1.5,4.1,.377,.377,0.7,0.9,.741,1.2,1.7,2.9,1.1,0.3,0.2,0.9,1.7,3.7
