Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,22.0,STL,NBA,PG,42.0,,10.4,1.6,4.1,0.379,0.5,0.9,0.564,0.9,2.0,1.0,3.7
1963-64,23.0,TOT,NBA,PG,48.0,,13.8,2.0,4.8,0.41,0.9,1.4,0.677,1.3,1.6,1.0,4.8
1963-64,23.0,STL,NBA,PG,2.0,,3.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,0.0,0.0,1.0
1963-64,23.0,NYK,NBA,PG,4.0,,12.5,1.3,4.8,0.263,1.5,2.0,0.75,1.5,1.3,0.0,4.0
1963-64,23.0,DET,NBA,PG,42.0,,14.4,2.1,4.9,0.425,0.9,1.3,0.679,1.3,1.8,1.1,5.1
1964-65,24.0,DET,NBA,PG,4.0,,6.5,1.0,2.8,0.364,1.5,1.8,0.857,1.0,1.3,1.0,3.5
Career,,,NBA,,94.0,,11.9,1.7,4.4,0.396,0.8,1.2,0.649,1.1,1.8,1.0,4.3
,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,46.0,,13.7,2.0,4.7,0.422,1.0,1.4,0.698,1.3,1.7,1.1,5.0
2 seasons,,STL,NBA,,44.0,,10.0,1.5,4.0,0.379,0.5,0.9,0.55,0.9,1.9,1.0,3.5
1 season,,NYK,NBA,,4.0,,12.5,1.3,4.8,0.263,1.5,2.0,0.75,1.5,1.3,0.0,4.0
