Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,27.0,TRI,NBA,SF,64.0,,,5.2,14.2,0.366,2.5,4.1,0.623,,2.2,4.0,12.9
1950-51,28.0,TRI,NBA,SF,68.0,,,5.9,16.5,0.355,3.6,5.1,0.699,6.0,2.5,3.4,15.3
1951-52,29.0,TOT,NBA,SF,66.0,,28.8,4.1,12.3,0.332,3.1,5.0,0.611,4.1,2.0,3.8,11.3
1951-52,29.0,MLH,NBA,SF,50.0,,32.3,4.5,14.0,0.324,3.7,5.9,0.631,4.6,2.2,3.9,12.8
1951-52,29.0,FTW,NBA,SF,16.0,,18.0,2.7,7.1,0.381,1.1,2.4,0.462,2.3,1.4,3.7,6.5
1952-53,30.0,FTW,NBA,SF,69.0,,22.8,3.5,10.0,0.351,1.9,3.4,0.561,3.4,1.5,3.2,8.9
Career,,,NBA,,267.0,,25.7,4.6,13.2,0.352,2.8,4.4,0.63,4.5,2.1,3.6,12.1
,,,,,,,,,,,,,,,,,
3 seasons,,"TRI,MLH",NBA,,182.0,,32.3,5.3,15.0,0.351,3.2,5.0,0.655,5.4,2.3,3.7,13.8
2 seasons,,FTW,NBA,,85.0,,21.9,3.3,9.4,0.355,1.8,3.2,0.547,3.2,1.5,3.3,8.5
