Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,21.0,SFW,NBA,SF,64.0,,10.1,1.5,4.2,0.356,0.7,1.0,0.662,,,2.5,0.6,,,1.4,3.6
1966-67,22.0,CHI,NBA,SF,76.0,,19.1,3.1,8.4,0.367,1.5,2.1,0.736,,,4.5,1.6,,,2.6,7.7
1967-68,23.0,CHI,NBA,SF,78.0,,28.9,4.8,12.1,0.401,2.5,3.3,0.755,,,5.4,3.4,,,3.5,12.2
1968-69,24.0,LAL,NBA,SG,77.0,,25.6,3.4,8.2,0.42,1.6,2.3,0.686,,,4.0,2.5,,,2.9,8.4
1969-70,25.0,LAL,NBA,SF,68.0,,25.8,3.8,8.3,0.458,1.3,1.8,0.746,,,4.5,3.1,,,2.6,8.9
1970-71,26.0,LAL,NBA,SF,73.0,,31.1,5.1,10.7,0.471,1.2,1.5,0.759,,,5.5,3.1,,,3.3,11.3
1971-72,27.0,LAL,NBA,SF,15.0,,17.5,2.7,5.5,0.482,0.4,0.5,0.857,,,2.6,2.3,,,1.7,5.7
1972-73,28.0,LAL,NBA,SF,76.0,,25.3,3.9,9.2,0.43,1.2,1.4,0.809,,,4.4,3.2,,,2.5,9.0
1973-74,29.0,PHO,NBA,SF,66.0,,30.8,6.0,12.5,0.477,2.7,3.3,0.801,1.4,4.8,6.3,3.1,1.0,0.3,2.9,14.6
1974-75,30.0,PHO,NBA,SF,49.0,,30.0,4.8,11.4,0.425,2.7,3.2,0.833,1.4,3.5,5.0,3.5,1.0,0.2,3.1,12.3
1975-76,31.0,PHO,NBA,SF,74.0,,25.0,4.1,8.8,0.47,1.8,2.1,0.854,1.4,3.1,4.5,2.5,1.1,0.1,2.6,10.1
1976-77,32.0,PHO,NBA,SF,50.0,,19.0,2.8,5.9,0.483,0.7,1.0,0.74,0.7,2.2,2.9,2.1,0.6,0.1,2.4,6.4
Career,,,NBA,,766.0,,24.6,3.9,9.0,0.435,1.6,2.1,0.769,1.3,3.5,4.5,2.6,0.9,0.2,2.7,9.5
,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAL,NBA,,309.0,,26.5,4.0,8.9,0.447,1.3,1.7,0.743,,,4.5,2.9,,,2.8,9.2
4 seasons,,PHO,NBA,,239.0,,26.4,4.5,9.7,0.463,2.0,2.4,0.818,1.3,3.5,4.7,2.8,0.9,0.2,2.8,11.0
2 seasons,,CHI,NBA,,154.0,,24.1,4.0,10.3,0.387,2.0,2.7,0.748,,,4.9,2.5,,,3.1,10.0
1 season,,SFW,NBA,,64.0,,10.1,1.5,4.2,0.356,0.7,1.0,0.662,,,2.5,0.6,,,1.4,3.6
