Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,21.0,ATL,NBA,C,56.0,13.0,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.53,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
2020-21,22.0,ATL,NBA,C,33.0,0.0,6.8,0.5,1.3,0.409,0.0,0.1,0.0,0.5,1.3,0.429,0.409,0.5,0.7,0.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5
2021-22,23.0,TOT,NBA,C,30.0,0.0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9
2021-22,23.0,BOS,NBA,C,20.0,0.0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0
2021-22,23.0,HOU,NBA,C,10.0,0.0,9.4,2.9,4.1,0.707,0.0,0.1,0.0,2.9,4.0,0.725,0.707,1.1,1.9,0.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9
2022-23,24.0,TOT,NBA,C,35.0,4.0,10.7,1.4,2.8,0.515,0.0,0.0,0.0,1.4,2.7,0.521,0.515,0.9,1.3,0.682,1.4,2.1,3.5,0.9,0.2,0.9,0.6,2.0,3.7
2022-23,24.0,HOU,NBA,C,31.0,4.0,11.7,1.5,3.0,0.516,0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1
2022-23,24.0,ATL,NBA,C,4.0,0.0,2.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.0,0.5,0.3,1.0
Career,,,NBA,,154.0,17.0,9.5,1.3,2.6,0.524,0.0,0.3,0.143,1.3,2.3,0.569,0.532,0.6,0.9,0.631,1.0,2.0,3.0,0.6,0.2,0.4,0.6,1.4,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,93.0,13.0,10.2,1.3,2.7,0.498,0.1,0.4,0.128,1.3,2.2,0.567,0.508,0.5,0.8,0.603,0.9,2.1,3.0,0.6,0.2,0.2,0.7,1.4,3.2
2 seasons,,HOU,NBA,,41.0,4.0,11.2,1.9,3.3,0.575,0.0,0.0,0.0,1.9,3.2,0.583,0.575,1.0,1.5,0.651,1.4,2.5,4.0,0.8,0.2,1.0,0.7,2.1,4.8
1 season,,BOS,NBA,,20.0,0.0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0
