Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24.0,LAL,NBA,C,27.0,,5.2,0.6,1.7,0.362,0.3,0.4,0.583,,,2.4,0.2,,,1.4,1.5
1967-68,25.0,SDR,NBA,C,53.0,,21.1,4.6,9.3,0.492,2.5,3.6,0.686,,,7.1,1.4,,,3.3,11.6
1968-69,26.0,SDR,NBA,C,35.0,,9.5,1.4,3.2,0.441,0.9,1.2,0.756,,,3.1,0.6,,,1.5,3.7
1969-70,27.0,BOS,NBA,C,80.0,,23.3,3.9,8.5,0.454,2.0,2.9,0.67,,,7.7,1.3,,,3.7,9.7
1970-71,28.0,BOS,NBA,C,80.0,,15.4,2.7,6.1,0.438,1.2,1.6,0.732,,,4.3,1.0,,,2.5,6.5
1971-72,29.0,BOS,NBA,C,78.0,,9.4,1.3,3.3,0.406,0.6,0.9,0.581,,,3.2,0.8,,,1.5,3.2
1972-73,30.0,BOS,NBA,C,76.0,,6.5,1.0,2.3,0.451,0.4,0.7,0.538,,,2.0,0.3,,,1.1,2.4
1973-74,31.0,BOS,NBA,C,60.0,,7.1,1.0,2.2,0.462,0.5,0.7,0.651,0.7,1.6,2.3,0.5,0.1,0.1,1.0,2.5
1974-75,32.0,BOS,NBA,C,62.0,,8.4,0.8,2.1,0.403,0.4,0.7,0.535,0.5,1.3,1.8,0.5,0.1,0.0,1.2,2.0
Career,,,NBA,,551.0,,12.5,2.0,4.6,0.449,1.0,1.5,0.662,0.6,1.4,3.9,0.8,0.1,0.1,2.0,5.1
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,BOS,NBA,,436.0,,12.1,1.9,4.3,0.44,0.9,1.3,0.649,0.6,1.4,3.7,0.8,0.1,0.1,1.9,4.6
2 seasons,,SDR,NBA,,88.0,,16.5,3.3,6.9,0.483,1.8,2.6,0.698,,,5.5,1.1,,,2.6,8.5
1 season,,LAL,NBA,,27.0,,5.2,0.6,1.7,0.362,0.3,0.4,0.583,,,2.4,0.2,,,1.4,1.5
