Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
1966-67,23.0,Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium),Did Not Play (other pro league—Belgium)
1967-68,24.0,TOT,NBA,C,55,,11.3,1.2,2.9,.410,1.2,2.0,.611,,,4.2,0.5,,,1.5,3.6
1967-68,24.0,CIN,NBA,C,31,,7.9,1.0,2.5,.405,1.2,1.8,.643,,,3.1,0.4,,,1.1,3.2
1967-68,24.0,DET,NBA,C,24,,15.8,1.4,3.4,.415,1.3,2.2,.577,,,5.6,0.7,,,2.1,4.1
1968-69,25.0,TOT,NBA,C,76,,31.0,4.2,8.9,.470,2.5,3.5,.715,,,10.8,2.2,,,3.5,10.9
1968-69,25.0,DET,NBA,C,25,,15.0,1.8,3.8,.469,1.4,2.1,.642,,,5.6,0.9,,,2.2,5.0
1968-69,25.0,PHO,NBA,C,51,,38.8,5.4,11.4,.470,3.1,4.2,.734,,,13.3,2.8,,,4.1,13.8
1969-70,26.0,PHO,NBA,C,81,,25.2,5.1,9.7,.524,2.7,3.5,.770,,,7.0,1.1,,,3.2,12.9
1970-71,27.0,CHI,NBA,C,82,,19.9,3.4,7.5,.458,2.9,3.9,.745,,,7.3,2.4,,,2.6,9.7
1971-72,28.0,TOT,NBA,C,81,,26.9,4.4,9.7,.449,2.8,3.7,.764,,,8.8,1.1,,,3.2,11.5
1971-72,28.0,CHI,NBA,C,10,,13.3,2.0,5.3,.377,2.0,2.8,.714,,,5.4,0.6,,,2.1,6.0
1971-72,28.0,CIN,NBA,C,71,,28.8,4.7,10.4,.454,2.9,3.8,.770,,,9.3,1.1,,,3.3,12.3
1972-73,29.0,SEA,NBA,C,74,,33.0,4.3,8.3,.515,2.9,3.6,.808,,,11.2,2.4,,,3.2,11.4
1973-74,30.0,SEA,NBA,C,78,,27.9,4.1,8.6,.478,3.1,3.8,.823,3.1,6.0,9.2,2.9,0.7,0.3,3.2,11.3
1974-75,31.0,SEA,NBA,C,75,,23.5,3.4,7.2,.469,2.3,2.8,.802,1.7,4.8,6.5,1.8,0.6,0.2,2.2,9.0
1975-76,32.0,MIL,NBA,C,70,,13.1,1.5,2.9,.517,0.9,1.1,.785,1.2,2.2,3.4,0.6,0.4,0.2,1.8,3.9
1976-77,33.0,NYN,NBA,C,71,,16.4,2.6,5.6,.462,1.3,1.6,.833,1.4,3.2,4.6,0.7,0.3,0.4,2.2,6.5
Career,,,NBA,,743,,23.3,3.5,7.3,.479,2.3,3.0,.770,1.9,4.1,7.4,1.6,0.5,0.3,2.7,9.3
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SEA,NBA,,227,,28.1,3.9,8.0,.488,2.8,3.4,.812,2.4,5.4,9.0,2.4,0.7,0.2,2.9,10.6
2 seasons,,PHO,NBA,,132,,30.5,5.2,10.4,.501,2.8,3.8,.755,,,9.5,1.8,,,3.6,13.2
2 seasons,,CIN,NBA,,102,,22.5,3.6,8.0,.450,2.4,3.2,.748,,,7.4,0.9,,,2.6,9.6
2 seasons,,CHI,NBA,,92,,19.1,3.3,7.2,.452,2.8,3.8,.742,,,7.1,2.2,,,2.5,9.3
1 season,,NYN,NBA,,71,,16.4,2.6,5.6,.462,1.3,1.6,.833,1.4,3.2,4.6,0.7,0.3,0.4,2.2,6.5
1 season,,MIL,NBA,,70,,13.1,1.5,2.9,.517,0.9,1.1,.785,1.2,2.2,3.4,0.6,0.4,0.2,1.8,3.9
2 seasons,,DET,NBA,,49,,15.4,1.6,3.6,.444,1.3,2.1,.610,,,5.6,0.8,,,2.2,4.5
