Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,22.0,OAK,ABA,SF,74.0,,28.1,4.8,12.2,0.392,0.3,1.3,0.258,4.4,10.9,0.408,0.406,2.7,3.9,0.691,,,6.3,1.7,,,2.3,3.4,12.6
1968-69,23.0,NOB,ABA,SF,73.0,,30.1,5.2,11.6,0.448,0.2,0.4,0.355,5.1,11.2,0.452,0.455,3.9,5.3,0.737,2.2,4.9,7.1,2.6,,,2.4,3.2,14.5
1969-70,24.0,NOB,ABA,SF,55.0,,23.7,4.2,9.9,0.422,0.1,0.5,0.28,4.1,9.5,0.429,0.429,3.0,4.7,0.629,1.9,3.3,5.2,1.7,,,2.1,2.5,11.5
1970-71,25.0,FLO,ABA,SF,67.0,,23.8,4.6,9.5,0.485,0.1,0.3,0.318,4.5,9.2,0.491,0.491,2.8,3.9,0.726,1.9,2.9,4.8,1.4,,,1.8,2.7,12.1
1971-72,26.0,FLO,ABA,SF,74.0,,24.6,4.6,9.5,0.485,0.0,0.1,0.182,4.6,9.4,0.49,0.487,2.3,3.3,0.704,1.5,3.1,4.6,1.3,,,1.3,2.8,11.6
1972-73,27.0,TOT,ABA,SF,60.0,,15.2,2.5,5.1,0.488,0.0,0.1,0.25,2.5,5.0,0.492,0.49,2.4,3.4,0.721,1.1,2.1,3.2,1.1,,,1.3,1.9,7.4
1972-73,27.0,MMT,ABA,SF,23.0,,17.5,2.6,5.6,0.465,0.0,0.0,0.0,2.6,5.6,0.469,0.465,2.0,2.9,0.697,1.4,2.4,3.8,1.1,,,1.3,2.0,7.2
1972-73,27.0,DLC,ABA,SF,37.0,,13.8,2.4,4.7,0.506,0.0,0.1,0.333,2.4,4.6,0.509,0.509,2.7,3.6,0.733,0.9,1.9,2.8,1.1,,,1.3,1.8,7.5
Career,,,ABA,,403.0,,24.6,4.4,9.8,0.447,0.1,0.5,0.279,4.2,9.3,0.456,0.454,2.9,4.1,0.703,1.7,3.3,5.3,1.7,,,1.9,2.8,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"NOB,MMT",ABA,,151.0,,25.8,4.5,10.1,0.44,0.1,0.4,0.316,4.3,9.7,0.445,0.446,3.3,4.7,0.694,2.0,3.9,5.9,2.0,,,2.1,2.8,12.3
2 seasons,,FLO,ABA,,141.0,,24.2,4.6,9.5,0.485,0.1,0.2,0.273,4.6,9.3,0.49,0.488,2.5,3.6,0.715,1.7,3.0,4.7,1.4,,,1.6,2.7,11.8
1 season,,OAK,ABA,,74.0,,28.1,4.8,12.2,0.392,0.3,1.3,0.258,4.4,10.9,0.408,0.406,2.7,3.9,0.691,,,6.3,1.7,,,2.3,3.4,12.6
1 season,,DLC,ABA,,37.0,,13.8,2.4,4.7,0.506,0.0,0.1,0.333,2.4,4.6,0.509,0.509,2.7,3.6,0.733,0.9,1.9,2.8,1.1,,,1.3,1.8,7.5
