Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,21.0,STL,NBA,SF,2.0,,3.5,0.5,0.5,1.0,0.0,0.0,,1.0,0.0,1.0,1.0
1959-60,22.0,TOT,NBA,SF,61.0,,10.8,1.9,4.8,0.402,1.1,1.7,0.651,3.8,0.6,1.4,5.0
1959-60,22.0,STL,NBA,SF,42.0,,10.6,1.9,4.7,0.409,1.1,1.7,0.648,3.7,0.7,1.5,5.0
1959-60,22.0,CIN,NBA,SF,19.0,,11.1,1.9,4.9,0.387,1.2,1.8,0.657,3.9,0.5,1.1,5.0
1960-61,23.0,SYR,NBA,SF,79.0,,26.5,5.0,12.0,0.419,3.7,4.5,0.827,7.4,1.3,3.5,13.7
1961-62,24.0,SYR,NBA,SF,80.0,,28.8,6.0,14.1,0.424,4.8,5.9,0.817,7.9,1.4,3.4,16.7
1962-63,25.0,SYR,NBA,SF,60.0,,20.6,3.9,9.0,0.438,3.3,4.0,0.836,4.8,0.8,3.2,11.2
1963-64,26.0,PHI,NBA,SF,41.0,,22.6,3.6,9.2,0.394,3.7,4.5,0.816,6.2,0.9,3.9,11.0
1964-65,27.0,PHI,NBA,SF,80.0,,24.9,4.5,10.8,0.412,3.7,4.6,0.813,5.9,1.4,3.5,12.6
1965-66,28.0,PHI,NBA,SF,72.0,,14.8,2.3,6.1,0.384,2.2,2.6,0.85,3.8,1.0,2.6,6.9
1966-67,29.0,PHI,NBA,SF,63.0,,12.0,2.4,5.5,0.435,1.7,2.0,0.856,3.1,0.7,2.3,6.5
1967-68,30.0,SDR,NBA,PF,80.0,,21.9,4.7,10.7,0.44,4.0,4.7,0.847,5.8,1.2,3.2,13.4
1968-69,31.0,TOT,NBA,SF,59.0,,15.7,3.6,7.9,0.452,2.7,3.3,0.815,4.4,0.8,2.7,9.8
1968-69,31.0,MIL,NBA,SF,34.0,,18.4,4.4,9.5,0.464,3.2,3.9,0.827,5.3,0.9,2.9,12.1
1968-69,31.0,DET,NBA,SF,25.0,,12.1,2.4,5.7,0.423,2.0,2.5,0.79,3.1,0.6,2.4,6.8
1969-70,32.0,SFW,NBA,SF,73.0,,13.0,2.5,6.4,0.399,2.1,2.5,0.839,3.3,0.8,2.4,7.2
Career,,,NBA,,750.0,,19.6,3.8,8.9,0.42,3.1,3.7,0.822,5.2,1.0,2.9,10.6
,,,,,,,,,,,,,,,,,
7 seasons,,"SYR,PHI",NBA,,475.0,,21.8,4.1,9.8,0.417,3.3,4.1,0.826,5.7,1.1,3.2,11.5
1 season,,SDR,NBA,,80.0,,21.9,4.7,10.7,0.44,4.0,4.7,0.847,5.8,1.2,3.2,13.4
1 season,,SFW,NBA,,73.0,,13.0,2.5,6.4,0.399,2.1,2.5,0.839,3.3,0.8,2.4,7.2
2 seasons,,STL,NBA,,44.0,,10.3,1.9,4.5,0.412,1.0,1.6,0.648,3.6,0.7,1.5,4.8
1 season,,MIL,NBA,,34.0,,18.4,4.4,9.5,0.464,3.2,3.9,0.827,5.3,0.9,2.9,12.1
1 season,,DET,NBA,,25.0,,12.1,2.4,5.7,0.423,2.0,2.5,0.79,3.1,0.6,2.4,6.8
1 season,,CIN,NBA,,19.0,,11.1,1.9,4.9,0.387,1.2,1.8,0.657,3.9,0.5,1.1,5.0
