Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24.0,CHS,BAA,,51.0,,,1.5,5.0,0.3,0.5,1.3,0.394,,0.4,2.7,3.5
1947-48,25.0,CHS,BAA,,48.0,,,3.8,12.4,0.303,2.0,3.1,0.655,,1.6,4.8,9.6
1948-49,26.0,CHS,BAA,,56.0,,,2.0,5.0,0.391,1.2,2.2,0.545,,2.2,3.5,5.1
1949-50,27.0,WSC,NBA,,68.0,,,1.9,5.6,0.335,2.4,3.5,0.68,,1.6,4.0,6.1
1950-51,28.0,WSC,NBA,,16.0,,,1.1,3.8,0.279,1.1,2.0,0.531,4.7,1.1,3.6,3.2
Career,,,TOT,,239.0,,,2.1,6.6,0.325,1.5,2.5,0.609,4.7,1.5,3.7,5.8
,,,BAA,,155.0,,,2.4,7.3,0.324,1.2,2.2,0.564,,1.4,3.6,6.0
,,,NBA,,84.0,,,1.7,5.2,0.327,2.2,3.3,0.663,4.7,1.5,4.0,5.6
,,,,,,,,,,,,,,,,,
3 seasons,,CHS,BAA,,155.0,,,2.4,7.3,0.324,1.2,2.2,0.564,,1.4,3.6,6.0
2 seasons,,WSC,NBA,,84.0,,,1.7,5.2,0.327,2.2,3.3,0.663,4.7,1.5,4.0,5.6
