Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23.0,LAL,NBA,SF,33.0,,4.6,1.5,3.5,0.44,,,,1.5,3.5,0.44,0.44,0.7,0.8,0.885,,,1.6,0.2,,,,0.6,3.8
1973-74,24.0,TOT,TOT,SF,59.0,,22.5,6.1,11.6,0.523,0.0,0.1,0.25,6.1,11.5,0.524,0.523,2.4,3.0,0.793,1.8,3.3,5.1,1.1,0.8,0.2,1.5,2.0,14.6
1973-74,24.0,LAL,NBA,SF,3.0,,2.0,0.3,1.3,0.25,,,,0.3,1.3,0.25,0.25,0.3,1.0,0.333,0.0,0.3,0.3,0.0,0.0,0.0,,0.3,1.0
1973-74,24.0,SDA,ABA,SF,56.0,,23.6,6.4,12.2,0.524,0.0,0.1,0.25,6.4,12.1,0.526,0.525,2.5,3.1,0.801,1.9,3.4,5.3,1.1,0.8,0.2,1.6,2.1,15.3
1974-75,25.0,SDA,ABA,SF,53.0,,37.7,10.9,20.0,0.544,0.0,0.0,0.5,10.8,19.9,0.545,0.545,3.4,4.1,0.835,2.2,4.0,6.2,1.8,0.8,0.4,2.2,3.0,25.2
1975-76,26.0,TOT,ABA,SF,56.0,,14.8,3.5,7.1,0.497,0.0,0.0,,3.5,7.1,0.497,0.497,0.9,1.2,0.754,1.1,1.4,2.5,0.8,0.3,0.3,1.0,1.8,8.0
1975-76,26.0,KEN,ABA,SF,22.0,,11.9,2.4,5.6,0.423,0.0,0.0,,2.4,5.6,0.423,0.423,0.8,1.0,0.783,0.5,1.2,1.8,0.5,0.3,0.2,0.9,1.4,5.5
1975-76,26.0,INA,ABA,SF,34.0,,16.7,4.3,8.1,0.531,0.0,0.0,,4.3,8.1,0.531,0.531,1.0,1.4,0.739,1.4,1.5,3.0,0.9,0.3,0.4,1.1,2.0,9.6
Career,,,TOT,,201.0,,21.4,5.9,11.2,0.524,0.0,0.0,0.333,5.9,11.2,0.525,0.525,2.0,2.4,0.811,1.7,2.9,4.1,1.0,0.6,0.3,1.6,2.0,13.8
,,,ABA,,165.0,,25.2,6.9,13.0,0.529,0.0,0.0,0.333,6.8,12.9,0.53,0.53,2.3,2.8,0.81,1.7,2.9,4.6,1.2,0.6,0.3,1.6,2.3,16.0
,,,NBA,,36.0,,4.4,1.4,3.3,0.433,,,,1.4,3.3,0.433,0.433,0.7,0.8,0.828,0.0,0.3,1.5,0.2,0.0,0.0,,0.6,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SDA,ABA,,109.0,,30.5,8.6,16.0,0.537,0.0,0.1,0.333,8.5,15.9,0.537,0.537,3.0,3.6,0.82,2.0,3.7,5.7,1.5,0.8,0.3,1.9,2.6,20.1
2 seasons,,LAL,NBA,,36.0,,4.4,1.4,3.3,0.433,,,,1.4,3.3,0.433,0.433,0.7,0.8,0.828,0.0,0.3,1.5,0.2,0.0,0.0,,0.6,3.6
1 season,,INA,ABA,,34.0,,16.7,4.3,8.1,0.531,0.0,0.0,,4.3,8.1,0.531,0.531,1.0,1.4,0.739,1.4,1.5,3.0,0.9,0.3,0.4,1.1,2.0,9.6
1 season,,KEN,ABA,,22.0,,11.9,2.4,5.6,0.423,0.0,0.0,,2.4,5.6,0.423,0.423,0.8,1.0,0.783,0.5,1.2,1.8,0.5,0.3,0.2,0.9,1.4,5.5
