Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1974-75,23.0,SEA,NBA,PF,75,,30.4,5.0,10.3,.489,1.4,1.9,.722,1.8,4.6,6.4,2.2,0.8,0.3,3.9,11.5
1975-76,24.0,SEA,NBA,PF,66,,32.4,6.0,12.6,.474,1.9,2.6,.746,1.7,4.4,6.0,3.1,1.1,0.5,3.9,13.8
1976-77,25.0,TOT,NBA,PF,83,,19.7,3.1,7.1,.436,1.4,1.9,.747,1.0,2.5,3.5,1.5,0.7,0.4,3.3,7.6
1976-77,25.0,SEA,NBA,PF,25,,25.7,4.6,10.5,.435,2.4,3.1,.756,0.9,3.4,4.3,2.2,1.1,0.5,3.4,11.5
1976-77,25.0,WSB,NBA,PF,58,,17.2,2.5,5.7,.436,1.0,1.4,.738,1.1,2.2,3.2,1.2,0.5,0.3,3.3,6.0
1977-78,26.0,Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury)
Career,,,NBA,,224,,27.0,4.6,9.8,.469,1.6,2.1,.739,1.5,3.8,5.2,2.2,0.9,0.4,3.7,10.8
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SEA,NBA,,166,,30.5,5.3,11.2,.475,1.7,2.4,.739,1.6,4.3,5.9,2.5,1.0,0.4,3.8,12.4
1 season,,WSB,NBA,,58,,17.2,2.5,5.7,.436,1.0,1.4,.738,1.1,2.2,3.2,1.2,0.5,0.3,3.3,6.0
