Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,26.0,NYK,NBA,PF,69.0,,17.9,3.0,6.8,0.447,0.9,2.2,0.406,7.8,0.8,2.8,7.0
1960-61,27.0,NYK,NBA,PF,78.0,,22.9,4.2,9.7,0.43,1.9,3.6,0.522,10.7,1.2,2.5,10.2
1961-62,28.0,NYK,NBA,PF,80.0,,34.9,6.3,14.6,0.436,3.3,5.4,0.601,13.3,2.4,3.3,15.9
1962-63,29.0,NYK,NBA,PF,80.0,,31.9,7.3,15.8,0.462,3.5,5.5,0.638,12.1,1.9,3.0,18.1
1963-64,30.0,NYK,NBA,PF,80.0,,26.7,6.0,12.8,0.47,2.4,4.9,0.497,10.0,2.0,3.1,14.5
1964-65,31.0,NYK,NBA,PF,78.0,,22.1,4.4,9.4,0.469,2.1,3.9,0.548,7.0,1.7,2.5,11.0
1965-66,32.0,TOT,NBA,PF,79.0,,20.8,4.5,8.5,0.536,2.6,4.9,0.521,8.2,1.4,2.3,11.6
1965-66,32.0,NYK,NBA,PF,7.0,,29.7,6.1,11.3,0.544,2.1,4.4,0.484,10.6,1.6,3.0,14.4
1965-66,32.0,BAL,NBA,PF,72.0,,20.0,4.4,8.2,0.535,2.6,5.0,0.524,7.9,1.3,2.3,11.3
1966-67,33.0,BAL,NBA,PF,61.0,,15.5,3.3,7.2,0.465,1.6,3.4,0.464,6.5,0.9,2.3,8.2
1967-68,34.0,TOT,NBA,PF,77.0,,18.7,4.0,8.8,0.459,1.8,3.8,0.471,7.1,1.0,2.1,9.9
1967-68,34.0,SDR,NBA,PF,42.0,,25.5,5.7,12.5,0.458,2.4,5.0,0.472,10.1,1.4,2.7,13.9
1967-68,34.0,PHI,NBA,PF,35.0,,10.5,2.0,4.3,0.46,1.1,2.4,0.47,3.5,0.6,1.5,5.1
1968-69,35.0,PHI,NBA,PF,74.0,,10.7,2.0,3.8,0.518,0.8,1.7,0.456,4.5,0.6,1.5,4.7
1969-70,36.0,CIN,NBA,PF,78.0,,29.2,6.2,11.0,0.559,3.3,5.5,0.592,10.8,1.4,3.4,15.6
1970-71,37.0,CIN,NBA,PF,75.0,,28.6,6.7,11.4,0.587,3.3,5.4,0.617,8.7,1.2,3.1,16.7
1971-72,38.0,CIN,NBA,PF,82.0,,23.3,4.0,7.1,0.569,1.7,3.0,0.564,6.8,1.5,2.9,9.8
1972-73,39.0,KCO,NBA,PF,66.0,,18.9,2.9,4.8,0.599,1.3,2.0,0.679,5.5,0.9,2.8,7.1
Career,,,NBA,,1057.0,,23.3,4.7,9.5,0.493,2.2,4.0,0.553,8.6,1.4,2.7,11.6
,,,,,,,,,,,,,,,,,
7 seasons,,NYK,NBA,,472.0,,26.3,5.3,11.6,0.454,2.4,4.3,0.554,10.2,1.7,2.9,13.0
4 seasons,,"CIN,KCO",NBA,,301.0,,25.2,5.0,8.7,0.575,2.4,4.0,0.604,8.0,1.3,3.1,12.4
2 seasons,,BAL,NBA,,133.0,,17.9,3.9,7.7,0.505,2.1,4.2,0.502,7.3,1.2,2.3,9.9
2 seasons,,PHI,NBA,,109.0,,10.7,2.0,4.0,0.498,0.9,1.9,0.462,4.1,0.6,1.5,4.8
1 season,,SDR,NBA,,42.0,,25.5,5.7,12.5,0.458,2.4,5.0,0.472,10.1,1.4,2.7,13.9
