Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22.0,PHO,NBA,PF,58.0,,12.1,1.7,4.0,0.432,,,,1.7,4.0,0.432,0.432,0.7,1.2,0.586,,,4.8,0.3,,,,2.0,4.2
1970-71,23.0,PHO,NBA,PF,68.0,,19.5,2.5,5.4,0.453,,,,2.5,5.4,0.453,0.453,0.9,1.6,0.604,,,6.9,0.8,,,,3.0,5.9
1971-72,24.0,PHO,NBA,PF,67.0,,14.8,2.0,4.4,0.446,,,,2.0,4.4,0.446,0.446,1.0,1.3,0.733,,,5.2,0.7,,,,2.0,5.0
1972-73,25.0,PHO,NBA,PF,80.0,,25.6,2.8,6.5,0.431,,,,2.8,6.5,0.431,0.431,1.1,1.5,0.754,,,9.3,1.1,,,,3.3,6.7
1973-74,26.0,PHO,NBA,PF,72.0,,15.3,1.8,4.4,0.407,,,,1.8,4.4,0.407,0.407,0.5,0.9,0.559,1.2,3.7,4.9,0.6,0.4,0.5,,2.1,4.1
1974-75,27.0,TOT,TOT,"C,PF",66.0,,17.2,2.1,5.2,0.409,0.0,0.0,,2.1,5.2,0.409,0.409,0.7,1.1,0.662,1.7,3.8,5.5,1.0,0.3,0.5,0.9,2.7,5.0
1974-75,27.0,NOJ,NBA,C,15.0,,18.7,1.6,4.7,0.343,,,,1.6,4.7,0.343,0.343,0.6,1.3,0.45,1.9,5.4,7.3,1.1,0.3,0.3,,2.5,3.8
1974-75,27.0,VIR,ABA,PF,51.0,,16.8,2.3,5.3,0.426,0.0,0.0,,2.3,5.3,0.426,0.426,0.8,1.1,0.741,1.7,3.3,5.0,0.9,0.3,0.5,1.2,2.7,5.3
Career,,,TOT,,411.0,,17.8,2.2,5.1,0.43,0.0,0.0,,2.2,5.1,0.43,0.43,0.8,1.3,0.66,1.4,3.7,6.2,0.8,0.4,0.5,1.2,2.5,5.2
,,,NBA,,360.0,,17.9,2.2,5.0,0.43,,,,2.2,5.0,0.43,0.43,0.9,1.3,0.65,1.3,4.0,6.4,0.7,0.4,0.5,,2.5,5.2
,,,ABA,,51.0,,16.8,2.3,5.3,0.426,0.0,0.0,,2.3,5.3,0.426,0.426,0.8,1.1,0.741,1.7,3.3,5.0,0.9,0.3,0.5,1.2,2.7,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,345.0,,17.9,2.2,5.0,0.434,,,,2.2,5.0,0.434,0.434,0.9,1.3,0.659,1.2,3.7,6.3,0.7,0.4,0.5,,2.5,5.2
1 season,,VIR,ABA,,51.0,,16.8,2.3,5.3,0.426,0.0,0.0,,2.3,5.3,0.426,0.426,0.8,1.1,0.741,1.7,3.3,5.0,0.9,0.3,0.5,1.2,2.7,5.3
1 season,,NOJ,NBA,,15.0,,18.7,1.6,4.7,0.343,,,,1.6,4.7,0.343,0.343,0.6,1.3,0.45,1.9,5.4,7.3,1.1,0.3,0.3,,2.5,3.8
