Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,21.0,IND,NBA,SG,35.0,0.0,7.3,1.8,4.5,0.392,0.1,0.3,0.2,1.7,4.2,0.405,0.399,0.4,0.8,0.536,0.6,0.6,1.2,0.6,0.4,0.2,0.8,0.9,4.0
1992-93,22.0,IND,NBA,SG,13.0,0.0,6.2,2.2,4.2,0.509,0.2,0.8,0.3,1.9,3.5,0.556,0.536,0.2,0.3,0.75,0.3,0.4,0.7,0.5,0.2,0.1,0.7,0.8,4.8
1993-94,23.0,TOT,NBA,SG,36.0,0.0,9.3,1.8,5.1,0.344,0.3,1.1,0.244,1.5,3.9,0.373,0.372,0.4,0.5,0.722,0.3,0.7,0.9,0.4,0.5,0.2,0.8,0.6,4.1
1993-94,23.0,PHI,NBA,SG,35.0,0.0,9.5,1.8,5.2,0.346,0.3,1.2,0.244,1.5,4.0,0.376,0.374,0.4,0.5,0.722,0.3,0.7,1.0,0.5,0.5,0.2,0.8,0.6,4.3
1993-94,23.0,UTA,NBA,SG,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Career,,,NBA,,84.0,0.0,8.0,1.8,4.7,0.386,0.2,0.7,0.246,1.6,4.0,0.412,0.405,0.4,0.6,0.62,0.4,0.6,1.0,0.5,0.4,0.2,0.8,0.8,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,48.0,0.0,7.0,1.9,4.4,0.423,0.1,0.4,0.25,1.8,4.0,0.44,0.434,0.4,0.7,0.563,0.5,0.5,1.1,0.6,0.3,0.1,0.8,0.9,4.2
1 season,,PHI,NBA,,35.0,0.0,9.5,1.8,5.2,0.346,0.3,1.2,0.244,1.5,4.0,0.376,0.374,0.4,0.5,0.722,0.3,0.7,1.0,0.5,0.5,0.2,0.8,0.6,4.3
1 season,,UTA,NBA,,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
