Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23.0,PHI,NBA,SF,50.0,,7.0,1.8,3.9,0.449,,,,1.8,3.9,0.449,0.449,0.2,0.6,0.313,,,1.7,0.4,,,,0.7,3.7
1969-70,24.0,CHI,NBA,SG,38.0,,13.6,2.5,6.4,0.393,,,,2.5,6.4,0.393,0.393,1.3,1.9,0.671,,,1.8,1.8,,,,1.5,6.3
1970-71,25.0,TOT,NBA,"SF,SG",81.0,,20.4,3.7,9.7,0.384,,,,3.7,9.7,0.384,0.384,1.3,2.0,0.66,,,5.1,2.7,,,,2.3,8.8
1970-71,25.0,CHI,NBA,SG,2.0,,11.5,0.5,4.0,0.125,,,,0.5,4.0,0.125,0.125,0.0,0.5,0.0,,,1.0,2.0,,,,2.5,1.0
1970-71,25.0,POR,NBA,SF,79.0,,20.6,3.8,9.8,0.387,,,,3.8,9.8,0.387,0.387,1.4,2.0,0.665,,,5.3,2.7,,,,2.3,8.9
1971-72,26.0,TOT,TOT,SF,56.0,,13.8,2.2,5.3,0.418,0.0,0.0,0.0,2.2,5.2,0.421,0.418,1.1,1.5,0.721,1.0,,2.8,1.3,,,0.8,1.6,5.5
1971-72,26.0,ATL,NBA,SF,1.0,,4.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,1.0,0.0
1971-72,26.0,DLC,ABA,SF,55.0,,14.0,2.2,5.3,0.418,0.0,0.0,0.0,2.2,5.3,0.421,0.418,1.1,1.6,0.721,1.1,1.8,2.8,1.3,,,0.8,1.6,5.6
1972-73,27.0,DLC,ABA,SF,29.0,,12.2,2.0,5.1,0.396,0.0,0.2,0.143,2.0,4.9,0.408,0.399,0.8,1.3,0.622,0.6,1.3,1.9,1.7,,,1.5,1.8,4.9
Career,,,TOT,,254.0,,14.4,2.6,6.6,0.4,0.0,0.1,0.111,2.6,6.5,0.402,0.401,1.0,1.5,0.644,0.9,1.6,3.1,1.7,,,1.1,1.6,6.2
,,,NBA,,170.0,,14.8,2.9,7.2,0.397,,,,2.9,7.2,0.397,0.397,1.0,1.6,0.622,,,3.4,1.8,,,,1.6,6.7
,,,ABA,,84.0,,13.4,2.2,5.3,0.411,0.0,0.1,0.111,2.2,5.2,0.417,0.412,1.0,1.5,0.691,0.9,1.6,2.5,1.4,,,1.1,1.7,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DLC,ABA,,84.0,,13.4,2.2,5.3,0.411,0.0,0.1,0.111,2.2,5.2,0.417,0.412,1.0,1.5,0.691,0.9,1.6,2.5,1.4,,,1.1,1.7,5.4
1 season,,POR,NBA,,79.0,,20.6,3.8,9.8,0.387,,,,3.8,9.8,0.387,0.387,1.4,2.0,0.665,,,5.3,2.7,,,,2.3,8.9
1 season,,PHI,NBA,,50.0,,7.0,1.8,3.9,0.449,,,,1.8,3.9,0.449,0.449,0.2,0.6,0.313,,,1.7,0.4,,,,0.7,3.7
2 seasons,,CHI,NBA,,40.0,,13.5,2.4,6.3,0.385,,,,2.4,6.3,0.385,0.385,1.2,1.9,0.662,,,1.8,1.8,,,,1.6,6.1
1 season,,ATL,NBA,,1.0,,4.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,1.0,0.0
