Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,19.0,TOT,NBA,"PG,SG",51.0,1.0,17.4,2.7,6.1,0.435,0.5,1.7,0.31,2.1,4.4,0.482,0.478,1.1,1.6,0.671,0.6,2.9,3.5,1.7,0.4,0.2,1.0,1.2,6.9
2020-21,19.0,DEN,NBA,PG,25.0,0.0,9.3,1.0,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6
2020-21,19.0,ORL,NBA,SG,26.0,1.0,25.2,4.3,9.7,0.439,0.8,2.7,0.319,3.4,7.1,0.484,0.482,1.8,2.7,0.657,0.7,4.2,5.0,2.8,0.6,0.3,1.6,1.5,11.2
2021-22,20.0,ORL,NBA,SG,64.0,14.0,21.9,2.7,7.1,0.383,1.0,2.9,0.35,1.7,4.3,0.405,0.453,1.2,1.8,0.641,0.4,2.7,3.0,2.5,0.7,0.2,1.4,1.6,7.6
2022-23,21.0,TOT,NBA,PG,39.0,1.0,15.3,2.1,4.7,0.44,0.8,2.3,0.375,1.2,2.5,0.5,0.53,1.3,1.6,0.766,0.4,1.3,1.6,1.2,0.6,0.2,0.9,1.0,6.3
2022-23,21.0,ORL,NBA,PG,26.0,0.0,13.9,1.9,4.4,0.439,0.7,2.0,0.34,1.2,2.3,0.525,0.518,1.2,1.4,0.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
2022-23,21.0,DET,NBA,PG,13.0,1.0,18.2,2.4,5.4,0.443,1.2,2.7,0.429,1.2,2.7,0.457,0.55,1.4,2.1,0.667,0.5,1.5,1.9,1.0,0.6,0.2,1.1,1.2,7.3
Career,,,NBA,,154.0,16.0,18.7,2.5,6.2,0.411,0.8,2.3,0.346,1.7,3.9,0.45,0.476,1.2,1.7,0.681,0.4,2.4,2.8,1.9,0.6,0.2,1.1,1.3,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,116.0,15.0,20.8,2.9,7.1,0.408,0.9,2.6,0.341,2.0,4.5,0.447,0.471,1.3,1.9,0.679,0.4,2.7,3.1,2.3,0.6,0.2,1.3,1.4,8.0
1 season,,DEN,NBA,,25.0,0.0,9.3,1.0,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6
1 season,,DET,NBA,,13.0,1.0,18.2,2.4,5.4,0.443,1.2,2.7,0.429,1.2,2.7,0.457,0.55,1.4,2.1,0.667,0.5,1.5,1.9,1.0,0.6,0.2,1.1,1.2,7.3
