Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,23.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
1965-66,24.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
1967-68,26.0,TOT,ABA,C,82,,32.9,3.8,9.5,.398,0.0,0.0,,3.8,9.5,.398,.398,2.5,3.6,.678,,,12.7,1.2,,,2.2,3.6,10.0
1967-68,26.0,PTP,ABA,C,52,,31.8,3.4,8.5,.399,0.0,0.0,,3.4,8.5,.399,.399,2.3,3.5,.647,,,11.4,0.7,,,2.1,3.7,9.1
1967-68,26.0,OAK,ABA,C,30,,34.9,4.5,11.3,.397,0.0,0.0,,4.5,11.3,.397,.397,2.8,3.8,.728,,,14.8,2.0,,,2.4,3.3,11.8
1968-69,27.0,OAK,ABA,C,78,,26.9,3.4,7.4,.465,0.0,0.0,,3.4,7.4,.465,.465,1.6,2.6,.615,3.4,7.0,10.5,1.2,,,2.8,3.1,8.5
1969-70,28.0,WSA,ABA,C,84,,35.6,4.9,10.5,.468,0.0,0.0,,4.9,10.5,.468,.468,2.3,3.4,.678,4.0,10.0,14.0,2.4,,,3.3,3.9,12.2
1970-71,29.0,TOT,ABA,C,82,,35.8,5.6,12.2,.460,0.0,0.1,.400,5.6,12.1,.461,.461,2.4,3.7,.644,4.0,9.2,13.2,2.5,,,2.8,3.5,13.6
1970-71,29.0,CAR,ABA,C,29,,30.8,4.5,10.0,.453,0.0,0.0,.000,4.5,9.9,.455,.453,1.4,2.8,.512,4.1,7.6,11.7,2.0,,,3.2,3.6,10.5
1970-71,29.0,FLO,ABA,C,53,,38.5,6.2,13.4,.463,0.0,0.1,.500,6.2,13.3,.463,.465,2.9,4.2,.692,3.9,10.2,14.1,2.7,,,2.6,3.5,15.4
1971-72,30.0,TOT,ABA,C,84,,27.0,3.7,8.1,.462,0.0,0.0,.000,3.7,8.1,.463,.462,1.2,1.8,.693,2.8,6.5,9.3,1.5,,,1.9,3.2,8.7
1971-72,30.0,FLO,ABA,C,53,,34.1,4.8,10.6,.456,0.0,0.0,.000,4.8,10.6,.457,.456,1.6,2.3,.683,3.6,8.2,11.8,1.9,,,2.4,3.6,11.2
1971-72,30.0,UTS,ABA,C,31,,14.7,1.9,3.8,.492,0.0,0.0,,1.9,3.8,.492,.492,0.6,0.9,.741,1.5,3.4,5.0,1.0,,,1.1,2.5,4.4
1972-73,31.0,TOT,ABA,C,17,,10.4,0.8,2.4,.350,0.0,0.0,,0.8,2.4,.350,.350,0.4,0.6,.600,0.9,2.6,3.5,0.5,,,1.0,2.5,2.0
1972-73,31.0,UTS,ABA,C,13,,7.7,0.7,1.7,.409,0.0,0.0,,0.7,1.7,.409,.409,0.3,0.5,.667,0.6,2.2,2.8,0.5,,,0.5,2.1,1.7
1972-73,31.0,CAR,ABA,C,4,,19.3,1.3,4.5,.278,0.0,0.0,,1.3,4.5,.278,.278,0.5,1.0,.500,1.8,4.0,5.8,0.8,,,2.8,4.0,3.0
Career,,,ABA,,427,,30.8,4.2,9.3,.450,0.0,0.0,.333,4.2,9.3,.450,.450,1.9,2.9,.661,3.4,7.9,11.6,1.7,,,2.6,3.4,10.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"OAK,WSA",ABA,,192,,31.9,4.3,9.4,.454,0.0,0.0,,4.3,9.4,.454,.454,2.1,3.1,.667,3.7,8.6,12.7,1.9,,,2.9,3.5,10.6
2 seasons,,FLO,ABA,,106,,36.3,5.5,12.0,.460,0.0,0.0,.400,5.5,11.9,.461,.461,2.3,3.3,.689,3.8,9.2,12.9,2.3,,,2.5,3.6,13.3
1 season,,PTP,ABA,,52,,31.8,3.4,8.5,.399,0.0,0.0,,3.4,8.5,.399,.399,2.3,3.5,.647,,,11.4,0.7,,,2.1,3.7,9.1
2 seasons,,UTS,ABA,,44,,12.6,1.5,3.2,.479,0.0,0.0,,1.5,3.2,.479,.479,0.5,0.8,.727,1.3,3.0,4.3,0.8,,,0.9,2.3,3.6
2 seasons,,CAR,ABA,,33,,29.4,4.1,9.3,.443,0.0,0.0,.000,4.1,9.3,.444,.443,1.3,2.6,.512,3.8,7.1,11.0,1.8,,,3.1,3.6,9.6
