Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22.0,MNL,NBA,,66.0,,,1.9,5.3,0.359,0.8,1.1,0.676,,2.0,2.7,4.5
1950-51,23.0,MNL,NBA,,68.0,,,2.2,6.4,0.347,1.5,1.9,0.789,2.5,2.9,3.2,5.9
1951-52,24.0,MNL,NBA,SG,65.0,,26.3,2.4,7.5,0.32,1.4,1.9,0.718,2.5,2.9,3.1,6.2
1952-53,25.0,MNL,NBA,SG,70.0,,23.5,2.8,7.4,0.376,1.5,2.4,0.648,2.2,2.3,3.8,7.1
1953-54,26.0,TOT,NBA,SG,64.0,,22.5,2.3,7.0,0.321,1.5,2.5,0.595,2.0,2.2,3.4,6.0
1953-54,26.0,MNL,NBA,,40.0,,15.5,1.4,4.5,0.298,1.2,1.8,0.662,1.5,1.4,2.9,3.9
1953-54,26.0,MLH,NBA,SG,24.0,,34.3,3.8,11.2,0.336,2.0,3.6,0.54,3.0,3.5,4.3,9.5
1954-55,27.0,MLH,NBA,PG,72.0,,31.9,4.2,12.2,0.342,1.8,2.6,0.681,3.1,3.5,4.0,10.1
1955-56,28.0,STL,NBA,PG,72.0,,30.8,3.6,10.1,0.359,1.3,2.0,0.664,2.7,3.8,3.4,8.6
1956-57,29.0,TOT,NBA,SG,66.0,,27.4,3.7,9.5,0.386,1.4,2.0,0.715,2.4,2.4,3.3,8.8
1956-57,29.0,STL,NBA,,10.0,,4.8,1.1,3.1,0.355,0.3,0.8,0.375,0.6,0.8,1.9,2.5
1956-57,29.0,SYR,NBA,SG,56.0,,31.5,4.1,10.7,0.388,1.6,2.2,0.738,2.7,2.7,3.6,9.9
1957-58,30.0,SYR,NBA,SG,72.0,,25.0,2.9,8.4,0.348,1.3,1.7,0.795,2.3,2.3,2.8,7.2
Career,,,NBA,,615.0,,26.9,2.9,8.2,0.352,1.4,2.0,0.693,2.5,2.7,3.3,7.2
,,,,,,,,,,,,,,,,,
5 seasons,,MNL,NBA,,309.0,,22.7,2.2,6.4,0.346,1.3,1.8,0.701,2.2,2.4,3.2,5.7
4 seasons,,"MLH,STL",NBA,,178.0,,30.3,3.7,10.7,0.348,1.5,2.4,0.641,2.8,3.5,3.7,8.9
2 seasons,,SYR,NBA,,128.0,,27.8,3.5,9.4,0.368,1.5,1.9,0.766,2.5,2.5,3.1,8.4
