Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,23.0,CLE,NBA,SG,51.0,1.0,9.7,0.9,2.4,0.4,0.6,1.6,0.369,0.3,0.7,0.472,0.529,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.2,2.7
2015-16,24.0,CLE,NBA,SG,5.0,0.0,3.0,0.2,0.8,0.25,0.2,0.8,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
2016-17,25.0,BRK,NBA,SG,52.0,11.0,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2
2017-18,26.0,BRK,NBA,SG,78.0,14.0,25.3,3.9,8.0,0.491,1.9,4.6,0.419,2.0,3.4,0.589,0.612,1.1,1.3,0.827,0.7,2.7,3.3,1.6,0.4,0.3,1.2,2.0,10.8
2018-19,27.0,BRK,NBA,SG,76.0,76.0,30.2,4.9,9.8,0.5,2.4,5.1,0.474,2.5,4.8,0.528,0.622,1.4,1.8,0.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7
2019-20,28.0,BRK,NBA,SF,69.0,69.0,30.8,5.5,11.4,0.486,2.5,5.9,0.424,3.0,5.5,0.553,0.596,0.9,1.3,0.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5
2020-21,29.0,BRK,NBA,SF,69.0,65.0,31.0,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3.0,3.6,1.9,0.7,0.2,0.9,2.0,14.1
2021-22,30.0,BRK,NBA,SF,14.0,14.0,30.2,4.0,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4.0,1.0,0.5,0.1,1.1,2.2,11.3
2022-23,31.0,BRK,NBA,SG,68.0,33.0,21.3,2.8,6.0,0.457,1.9,4.5,0.427,0.8,1.5,0.548,0.617,0.2,0.4,0.625,0.3,2.0,2.3,1.4,0.5,0.2,0.6,2.0,7.7
Career,,,NBA,,482.0,283.0,25.0,3.9,8.1,0.48,2.1,4.8,0.437,1.8,3.3,0.543,0.61,0.8,1.0,0.772,0.5,2.6,3.1,1.6,0.5,0.2,1.1,2.0,10.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,BRK,NBA,,426.0,282.0,27.1,4.3,8.8,0.483,2.3,5.2,0.44,2.0,3.6,0.544,0.613,0.9,1.1,0.778,0.6,2.8,3.4,1.8,0.5,0.2,1.1,2.2,11.7
2 seasons,,CLE,NBA,,56.0,1.0,9.1,0.9,2.2,0.395,0.6,1.6,0.364,0.3,0.6,0.472,0.524,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.1,2.5
