Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24.0,NYK,BAA,,59.0,,,3.4,11.8,0.289,1.9,2.5,0.758,,0.6,1.8,8.7
1947-48,25.0,TOT,BAA,,41.0,,,2.7,10.1,0.266,1.4,1.8,0.795,,0.6,1.5,6.8
1947-48,25.0,NYK,BAA,,4.0,,,0.3,3.5,0.071,0.8,1.0,0.75,,0.3,0.8,1.3
1947-48,25.0,WSC,BAA,,37.0,,,2.9,10.8,0.273,1.5,1.9,0.797,,0.6,1.6,7.4
1948-49,26.0,WSC,BAA,,60.0,,,2.6,9.0,0.285,2.2,2.7,0.817,,1.9,2.3,7.4
1949-50,27.0,BOS,NBA,,68.0,,,4.0,12.7,0.318,2.1,2.8,0.749,,2.9,2.3,10.2
1950-51,28.0,BOS,NBA,,65.0,,,3.2,10.0,0.316,3.4,4.2,0.826,4.0,3.8,2.4,9.8
Career,,,TOT,,293.0,,,3.2,10.8,0.299,2.3,2.9,0.792,4.0,2.1,2.1,8.7
,,,BAA,,160.0,,,2.9,10.3,0.282,1.9,2.4,0.79,,1.1,1.9,7.7
,,,NBA,,133.0,,,3.6,11.4,0.317,2.8,3.5,0.794,4.0,3.3,2.3,10.0
,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,133.0,,,3.6,11.4,0.317,2.8,3.5,0.794,4.0,3.3,2.3,10.0
2 seasons,,WSC,BAA,,97.0,,,2.7,9.7,0.279,1.9,2.4,0.811,,1.4,2.0,7.4
2 seasons,,NYK,BAA,,63.0,,,3.2,11.3,0.285,1.8,2.4,0.758,,0.6,1.8,8.3
