Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,22.0,BLB,BAA,,37,,,3.8,11.0,.348,2.8,4.2,.662,,0.6,3.3,10.5
1948-49,23.0,Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired)
1949-50,24.0,BLB,NBA,,60,,,5.2,15.2,.341,4.0,6.1,.665,,2.7,3.9,14.4
1950-51,25.0,BLB,NBA,,41,,,3.1,9.7,.318,2.6,3.8,.673,4.9,2.7,3.3,8.8
1951-52,26.0,Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired)
1952-53,27.0,BLB,NBA,SG,69,,28.3,3.5,9.5,.366,3.2,5.0,.655,4.6,3.4,4.1,10.2
1953-54,28.0,BLB,NBA,PG,72,,34.8,3.5,10.6,.332,3.0,4.2,.716,6.8,4.0,3.8,10.0
1954-55,29.0,TOT,NBA,SG,38,,17.6,1.7,5.7,.301,1.7,2.4,.688,3.3,2.5,2.4,5.1
1954-55,29.0,BLB,NBA,,9,,31.2,4.1,12.1,.339,4.9,6.4,.759,7.2,6.0,3.6,13.1
1954-55,29.0,NYK,NBA,,18,,14.9,1.2,4.3,.269,0.9,1.7,.548,2.2,1.4,2.3,3.3
1954-55,29.0,PHW,NBA,SG,11,,11.0,0.6,2.6,.241,0.3,0.4,.750,1.7,1.4,1.8,1.5
Career,,,TOT,,317,,28.7,3.6,10.6,.340,3.0,4.5,.676,5.1,2.9,3.6,10.2
,,,NBA,,280,,28.7,3.6,10.5,.338,3.0,4.5,.677,5.1,3.2,3.6,10.2
,,,BAA,,37,,,3.8,11.0,.348,2.8,4.2,.662,,0.6,3.3,10.5
,,,,,,,,,,,,,,,,,
6 seasons,,BLB,BAA,,288,,31.6,3.9,11.3,.342,3.3,4.8,.678,5.6,3.0,3.7,11.0
1 season,,NYK,NBA,,18,,14.9,1.2,4.3,.269,0.9,1.7,.548,2.2,1.4,2.3,3.3
1 season,,PHW,NBA,,11,,11.0,0.6,2.6,.241,0.3,0.4,.750,1.7,1.4,1.8,1.5
