Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,22.0,IND,NBA,PG,50.0,0.0,12.9,2.1,5.2,0.401,0.9,2.5,0.339,1.2,2.7,0.459,0.483,0.8,1.0,0.82,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9
2019-20,23.0,IND,NBA,PG,66.0,33.0,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.427,0.491,1.1,1.3,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5
2020-21,24.0,IND,NBA,PG,66.0,8.0,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2
2021-22,25.0,TOT,NBA,PG,63.0,15.0,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3
2021-22,25.0,WAS,NBA,PG,41.0,14.0,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
2021-22,25.0,PHO,NBA,PG,22.0,1.0,16.3,2.3,5.6,0.411,0.7,1.6,0.444,1.6,4.0,0.398,0.476,1.4,1.5,0.939,0.7,1.8,2.5,3.4,0.8,0.0,1.3,1.5,6.8
2022-23,26.0,ATL,NBA,PG,58.0,5.0,13.5,1.5,3.5,0.423,0.6,1.4,0.418,0.9,2.1,0.426,0.505,0.4,0.5,0.833,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9
Career,,,NBA,,303.0,61.0,17.3,2.5,5.9,0.413,0.9,2.3,0.378,1.6,3.6,0.437,0.488,0.9,1.0,0.84,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,182.0,41.0,18.9,2.8,6.9,0.403,1.1,2.9,0.372,1.7,4.0,0.425,0.481,1.0,1.2,0.832,0.2,1.5,1.7,2.4,0.7,0.2,1.1,1.6,7.7
1 season,,ATL,NBA,,58.0,5.0,13.5,1.5,3.5,0.423,0.6,1.4,0.418,0.9,2.1,0.426,0.505,0.4,0.5,0.833,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9
1 season,,WAS,NBA,,41.0,14.0,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
1 season,,PHO,NBA,,22.0,1.0,16.3,2.3,5.6,0.411,0.7,1.6,0.444,1.6,4.0,0.398,0.476,1.4,1.5,0.939,0.7,1.8,2.5,3.4,0.8,0.0,1.3,1.5,6.8
