Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,23.0,NYK,BAA,,11.0,,,1.6,4.4,0.375,0.5,1.1,0.5,,0.5,1.8,3.8
1949-50,24.0,NYK,NBA,,29.0,,,0.7,2.2,0.297,0.5,1.1,0.452,,0.7,1.8,1.8
1950-51,25.0,TOT,NBA,,48.0,,,1.6,4.9,0.336,0.9,1.5,0.62,2.9,1.5,2.5,4.2
1950-51,25.0,NYK,NBA,,6.0,,,0.2,0.5,0.333,0.2,0.3,0.5,0.7,0.7,1.2,0.5
1950-51,25.0,BLB,NBA,,42.0,,,1.9,5.5,0.336,1.0,1.6,0.623,3.3,1.6,2.6,4.7
Career,,,TOT,,88.0,,,1.3,3.9,0.334,0.7,1.3,0.561,2.9,1.1,2.2,3.4
,,,NBA,,77.0,,,1.3,3.9,0.328,0.8,1.3,0.569,2.9,1.2,2.2,3.3
,,,BAA,,11.0,,,1.6,4.4,0.375,0.5,1.1,0.5,,0.5,1.8,3.8
,,,,,,,,,,,,,,,,,
3 seasons,,NYK,BAA,,46.0,,,0.8,2.5,0.33,0.5,1.0,0.467,0.7,0.6,1.7,2.1
1 season,,BLB,NBA,,42.0,,,1.9,5.5,0.336,1.0,1.6,0.623,3.3,1.6,2.6,4.7
