Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23.0,PHO,NBA,PF,57.0,9.0,22.0,3.1,7.1,0.435,1.9,4.8,0.39,1.2,2.3,0.526,0.565,0.8,1.0,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
2020-21,24.0,PHO,NBA,PF,60.0,11.0,24.0,3.4,8.1,0.42,2.0,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1.0,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6
2021-22,25.0,PHO,NBA,PF,66.0,16.0,26.2,4.2,9.2,0.46,2.5,5.9,0.425,1.7,3.3,0.523,0.596,1.5,1.7,0.86,0.6,3.5,4.1,1.5,0.9,0.2,0.7,1.7,12.5
2022-23,26.0,TOT,NBA,PF,36.0,35.0,27.8,5.1,11.2,0.453,2.5,6.3,0.396,2.6,4.9,0.526,0.565,2.3,2.8,0.824,0.8,3.4,4.2,1.7,1.1,0.3,0.8,2.0,14.9
2022-23,26.0,PHO,NBA,PF,17.0,16.0,25.2,4.8,10.2,0.474,2.6,5.8,0.455,2.2,4.4,0.5,0.604,1.6,1.9,0.818,0.8,3.0,3.8,1.5,0.9,0.4,0.6,1.7,13.9
2022-23,26.0,BRK,NBA,PF,19.0,19.0,30.2,5.3,12.1,0.437,2.4,6.7,0.352,2.9,5.3,0.545,0.535,3.0,3.6,0.826,0.7,3.8,4.6,1.9,1.4,0.3,0.9,2.3,15.9
Career,,,NBA,,219.0,71.0,24.8,3.8,8.7,0.443,2.2,5.6,0.391,1.6,3.1,0.537,0.569,1.3,1.5,0.837,0.7,3.0,3.7,1.4,0.8,0.3,0.7,1.6,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,200.0,52.0,24.3,3.7,8.3,0.444,2.2,5.5,0.396,1.5,2.9,0.536,0.574,1.1,1.3,0.84,0.7,2.9,3.6,1.4,0.7,0.3,0.6,1.6,10.7
1 season,,BRK,NBA,,19.0,19.0,30.2,5.3,12.1,0.437,2.4,6.7,0.352,2.9,5.3,0.545,0.535,3.0,3.6,0.826,0.7,3.8,4.6,1.9,1.4,0.3,0.9,2.3,15.9
