Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,23.0,NYK,NBA,PF,51.0,,10.2,1.2,3.4,0.345,,,,1.2,3.4,0.345,0.345,1.1,1.7,0.663,,,3.3,0.7,,,,2.0,3.4
1967-68,24.0,NYK,NBA,PF,43.0,,6.7,1.0,2.5,0.415,,,,1.0,2.5,0.415,0.415,0.5,1.1,0.479,,,1.7,0.8,,,,1.5,2.6
1968-69,25.0,PHO,NBA,PF,80.0,,16.5,2.2,4.6,0.481,,,,2.2,4.6,0.481,0.481,1.4,2.2,0.621,,,5.0,1.7,,,,2.7,5.8
1969-70,26.0,PHO,NBA,PF,28.0,,4.9,0.7,2.1,0.333,,,,0.7,2.1,0.333,0.333,0.3,0.4,0.667,,,1.7,0.4,,,,1.4,1.7
1970-71,27.0,VIR,ABA,PF,78.0,,23.6,5.1,9.7,0.525,0.0,0.0,0.0,5.1,9.7,0.526,0.525,2.5,3.3,0.749,3.4,5.1,8.6,2.3,,,2.1,3.8,12.7
1971-72,28.0,VIR,ABA,PF,31.0,,28.2,4.1,8.8,0.469,0.0,0.1,0.333,4.1,8.7,0.47,0.471,2.1,3.0,0.691,3.5,5.7,9.2,2.5,,,2.2,4.0,10.4
1972-73,29.0,VIR,ABA,PF,69.0,,20.9,3.0,6.2,0.49,0.0,0.0,0.0,3.0,6.2,0.491,0.49,1.5,2.3,0.66,2.3,3.0,5.3,2.3,,,1.9,3.4,7.6
Career,,,TOT,,380.0,,16.9,2.7,5.7,0.479,0.0,0.0,0.167,2.7,5.7,0.479,0.479,1.5,2.2,0.673,3.0,4.4,5.3,1.7,,,2.0,2.8,6.9
,,,NBA,,202.0,,11.2,1.5,3.5,0.426,,,,1.5,3.5,0.426,0.426,1.0,1.6,0.613,,,3.4,1.1,,,,2.1,4.0
,,,ABA,,178.0,,23.3,4.1,8.2,0.504,0.0,0.0,0.167,4.1,8.2,0.506,0.504,2.0,2.9,0.711,3.0,4.4,7.4,2.3,,,2.0,3.7,10.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,VIR,ABA,,178.0,,23.3,4.1,8.2,0.504,0.0,0.0,0.167,4.1,8.2,0.506,0.504,2.0,2.9,0.711,3.0,4.4,7.4,2.3,,,2.0,3.7,10.3
2 seasons,,PHO,NBA,,108.0,,13.5,1.8,4.0,0.46,,,,1.8,4.0,0.46,0.46,1.1,1.8,0.624,,,4.1,1.4,,,,2.3,4.7
2 seasons,,NYK,NBA,,94.0,,8.6,1.1,2.9,0.372,,,,1.1,2.9,0.372,0.372,0.9,1.4,0.597,,,2.6,0.8,,,,1.8,3.0
