Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,28.0,TOT,NBA,PG,67.0,,,3.6,11.6,0.312,1.6,1.9,0.806,,2.6,3.1,8.8
1949-50,28.0,AND,NBA,PG,35.0,,,3.8,12.2,0.312,2.0,2.4,0.855,,3.0,3.2,9.6
1949-50,28.0,FTW,NBA,PG,32.0,,,3.4,11.0,0.312,1.0,1.4,0.717,,2.1,3.0,7.9
1950-51,29.0,FTW,NBA,PG,68.0,,,3.5,10.8,0.319,1.7,2.4,0.704,4.0,2.7,3.6,8.6
1951-52,30.0,FTW,NBA,PG,66.0,,34.3,3.2,9.0,0.356,1.5,2.1,0.721,3.4,3.2,3.7,7.9
1952-53,31.0,FTW,NBA,PG,3.0,,10.0,1.0,3.0,0.333,0.7,1.0,0.667,0.3,1.7,2.0,2.7
Career,,,NBA,,204.0,,33.3,3.4,10.4,0.327,1.6,2.1,0.74,3.6,2.8,3.4,8.4
,,,,,,,,,,,,,,,,,
4 seasons,,FTW,NBA,,169.0,,33.3,3.3,10.0,0.331,1.5,2.1,0.712,3.6,2.8,3.5,8.1
1 season,,AND,NBA,,35.0,,,3.8,12.2,0.312,2.0,2.4,0.855,,3.0,3.2,9.6
