Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22.0,BOS,NBA,C,31.0,,5.3,0.9,2.5,0.382,,,,0.9,2.5,0.382,0.382,0.4,0.7,0.478,,,1.7,0.2,,1.3,2.2
1969-70,23.0,BOS,NBA,C,65.0,,13.8,2.6,5.6,0.463,,,,2.6,5.6,0.463,0.463,0.7,1.1,0.657,,,3.2,0.5,,2.4,5.8
1970-71,24.0,TOT,TOT,"C,PF",39.0,,14.2,2.5,5.0,0.49,0.0,0.0,,2.5,5.0,0.49,0.49,0.9,1.4,0.667,1.2,,4.0,0.5,0.7,2.2,5.8
1970-71,24.0,TOT,ABA,"C,PF",38.0,,14.3,2.4,5.0,0.482,0.0,0.0,,2.4,5.0,0.482,0.482,0.9,1.4,0.667,1.2,2.8,4.0,0.5,0.7,2.2,5.8
1970-71,24.0,BOS,NBA,C,1.0,,13.0,4.0,5.0,0.8,,,,4.0,5.0,0.8,0.8,0.0,0.0,,,,5.0,0.0,,3.0,8.0
1970-71,24.0,FLO,ABA,C,7.0,,16.7,2.3,4.0,0.571,0.0,0.0,,2.3,4.0,0.571,0.571,0.6,1.0,0.571,1.9,2.6,4.4,0.7,1.9,2.1,5.1
1970-71,24.0,CAR,ABA,PF,25.0,,15.8,2.8,6.0,0.464,0.0,0.0,,2.8,6.0,0.464,0.464,1.2,1.6,0.707,1.1,3.3,4.4,0.4,0.5,2.6,6.8
1970-71,24.0,PTC,ABA,C,6.0,,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.8,1.8,0.5,0.3,0.5,2.5
Career,,,TOT,,135.0,,12.0,2.2,4.7,0.461,0.0,0.0,,2.2,4.7,0.461,0.461,0.7,1.1,0.633,1.2,2.8,3.1,0.4,0.7,2.1,5.0
,,,NBA,,97.0,,11.1,2.1,4.6,0.452,,,,2.1,4.6,0.452,0.452,0.6,1.0,0.613,,,2.7,0.4,,2.0,4.7
,,,ABA,,38.0,,14.3,2.4,5.0,0.482,0.0,0.0,,2.4,5.0,0.482,0.482,0.9,1.4,0.667,1.2,2.8,4.0,0.5,0.7,2.2,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BOS,NBA,,97.0,,11.1,2.1,4.6,0.452,,,,2.1,4.6,0.452,0.452,0.6,1.0,0.613,,,2.7,0.4,,2.0,4.7
1 season,,CAR,ABA,,25.0,,15.8,2.8,6.0,0.464,0.0,0.0,,2.8,6.0,0.464,0.464,1.2,1.6,0.707,1.1,3.3,4.4,0.4,0.5,2.6,6.8
1 season,,FLO,ABA,,7.0,,16.7,2.3,4.0,0.571,0.0,0.0,,2.3,4.0,0.571,0.571,0.6,1.0,0.571,1.9,2.6,4.4,0.7,1.9,2.1,5.1
1 season,,PTC,ABA,,6.0,,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.8,1.8,0.5,0.3,0.5,2.5
