Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,23.0,Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA),Did Not Play (other pro league—EBA)
1977-78,24.0,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1978-79,25.0,Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA),Did Not Play (other pro league—WBA)
1979-80,26.0,HOU,NBA,PF,82,,18.8,2.3,4.8,.480,0.0,0.0,.333,2.3,4.7,.481,.481,0.7,1.3,.565,1.8,2.9,4.6,0.8,0.6,0.8,1.4,2.3,5.3
1980-81,27.0,HOU,NBA,PF,68,,14.8,1.7,3.7,.464,0.0,0.0,.000,1.7,3.7,.466,.464,0.9,1.5,.634,1.4,2.0,3.4,0.6,0.3,0.3,0.8,1.6,4.4
1981-82,28.0,HOU,NBA,PF,60,6,12.4,1.9,3.6,.531,0.0,0.1,.000,1.9,3.5,.538,.531,0.7,1.3,.545,1.3,2.0,3.4,0.4,0.3,0.5,0.8,1.7,4.5
1982-83,29.0,HOU,NBA,PF,60,4,14.6,2.4,5.2,.457,0.0,0.0,.000,2.4,5.2,.460,.457,0.9,1.7,.549,1.9,2.5,4.4,0.7,0.4,0.4,1.4,1.7,5.7
1983-84,30.0,HOU,NBA,PF,57,5,8.3,1.2,2.3,.538,0.0,0.0,,1.2,2.3,.538,.538,0.5,0.9,.612,0.6,1.4,2.0,0.5,0.2,0.2,0.5,1.1,3.0
1984-85,31.0,DET,NBA,PF,47,0,8.9,1.0,1.9,.552,0.0,0.0,,1.0,1.9,.552,.552,0.7,1.1,.647,1.0,1.7,2.7,0.3,0.2,0.3,0.7,1.2,2.7
Career,,,NBA,,374,15,13.5,1.8,3.7,.490,0.0,0.0,.111,1.8,3.7,.492,.490,0.8,1.3,.586,1.4,2.2,3.5,0.6,0.4,0.5,1.0,1.7,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,327,15,14.2,1.9,4.0,.485,0.0,0.0,.111,1.9,3.9,.488,.486,0.8,1.3,.579,1.4,2.2,3.7,0.6,0.4,0.5,1.0,1.7,4.6
1 season,,DET,NBA,,47,0,8.9,1.0,1.9,.552,0.0,0.0,,1.0,1.9,.552,.552,0.7,1.1,.647,1.0,1.7,2.7,0.3,0.2,0.3,0.7,1.2,2.7
