Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23.0,DLC,ABA,SF,2.0,,25.0,4.5,10.0,0.45,0.0,0.0,,4.5,10.0,0.45,0.45,5.0,5.5,0.909,3.5,8.0,11.5,0.5,,,3.0,5.5,14.0
1970-71,24.0,TEX,ABA,SF,79.0,,26.3,4.7,11.5,0.408,0.4,1.2,0.347,4.3,10.3,0.415,0.426,2.2,2.9,0.761,2.2,4.5,6.6,2.3,,,2.2,3.1,12.0
1971-72,25.0,DLC,ABA,SF,82.0,,35.8,5.8,12.8,0.451,0.2,0.6,0.298,5.6,12.3,0.458,0.458,2.6,3.4,0.76,2.4,6.1,8.5,2.7,,,1.9,3.6,14.3
1972-73,26.0,DLC,ABA,SF,67.0,,40.2,8.4,20.4,0.413,0.6,1.9,0.339,7.8,18.5,0.421,0.429,4.8,6.2,0.783,2.6,7.4,10.0,4.1,,,3.4,3.6,22.3
1973-74,27.0,SAA,ABA,PF,78.0,,36.4,6.5,15.1,0.434,0.2,0.6,0.283,6.4,14.5,0.44,0.44,2.4,3.1,0.772,2.2,5.3,7.4,3.4,0.9,0.2,1.9,3.5,15.6
1974-75,28.0,SAA,ABA,PF,83.0,,37.3,7.8,17.8,0.439,0.2,0.6,0.26,7.7,17.2,0.445,0.443,3.5,4.5,0.767,3.0,4.8,7.8,3.3,1.1,0.4,2.5,3.6,19.3
1975-76,29.0,NYA,ABA,PF,83.0,,29.2,5.3,13.9,0.382,0.2,0.8,0.224,5.1,13.1,0.392,0.389,2.4,3.1,0.762,1.2,3.9,5.2,1.6,1.0,0.3,1.9,3.5,13.2
1976-77,30.0,NYN,NBA,SF,34.0,,25.8,3.9,10.2,0.385,,,,3.9,10.2,0.385,0.385,2.7,3.6,0.76,1.4,4.3,5.7,1.4,1.1,0.3,,3.2,10.6
Career,,,TOT,,508.0,,33.4,6.2,14.8,0.42,0.3,0.9,0.303,5.9,13.9,0.427,0.429,2.9,3.8,0.769,2.2,5.2,7.4,2.7,1.0,0.3,2.3,3.5,15.6
,,,ABA,,474.0,,34.0,6.4,15.1,0.422,0.3,0.9,0.303,6.1,14.2,0.43,0.431,2.9,3.8,0.77,2.3,5.3,7.5,2.8,1.0,0.3,2.3,3.5,16.0
,,,NBA,,34.0,,25.8,3.9,10.2,0.385,,,,3.9,10.2,0.385,0.385,2.7,3.6,0.76,1.4,4.3,5.7,1.4,1.1,0.3,,3.2,10.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,"DLC,TEX,SAA",ABA,,391.0,,35.0,6.6,15.4,0.43,0.3,0.9,0.318,6.3,14.4,0.437,0.439,3.1,4.0,0.771,2.5,5.5,8.0,3.1,1.0,0.3,2.3,3.5,16.5
2 seasons,,"NYA,NYN",ABA,,117.0,,28.2,4.9,12.8,0.383,0.2,0.8,0.224,4.8,12.3,0.391,0.388,2.5,3.3,0.762,1.3,4.0,5.3,1.5,1.0,0.3,1.9,3.4,12.4
