Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,19.0,MIN,NBA,PG,37.0,0.0,15.5,1.5,4.2,0.359,0.4,1.4,0.302,1.1,2.8,0.388,0.41,0.8,1.1,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
2016-17,20.0,MIN,NBA,PG,60.0,0.0,12.9,1.3,3.0,0.414,0.4,1.2,0.356,0.8,1.8,0.454,0.486,0.6,0.7,0.767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5
2017-18,21.0,MIN,NBA,PG,82.0,11.0,17.9,1.8,4.0,0.457,0.5,1.6,0.349,1.3,2.4,0.528,0.526,0.9,1.0,0.877,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,5.1
2018-19,22.0,MIN,NBA,PG,68.0,23.0,22.9,2.7,6.6,0.415,0.6,1.9,0.317,2.1,4.7,0.453,0.46,0.9,1.0,0.841,0.3,1.6,2.0,4.8,1.2,0.1,0.7,1.1,6.9
2019-20,23.0,MEM,NBA,PG,65.0,6.0,19.0,3.0,6.6,0.459,0.7,1.9,0.379,2.3,4.7,0.492,0.514,0.7,0.9,0.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4
2020-21,24.0,MEM,NBA,PG,70.0,9.0,17.5,2.5,5.9,0.431,0.6,2.0,0.321,1.9,3.9,0.487,0.485,0.6,0.6,0.911,0.3,1.7,2.0,3.7,0.9,0.1,0.7,0.4,6.3
2021-22,25.0,MEM,NBA,PG,73.0,23.0,21.2,3.4,7.6,0.451,1.1,2.8,0.39,2.3,4.8,0.487,0.524,0.7,0.9,0.818,0.2,2.2,2.4,4.4,0.9,0.0,0.6,0.4,8.7
2022-23,26.0,MEM,NBA,PG,74.0,20.0,24.0,4.0,8.9,0.446,1.6,4.0,0.389,2.4,4.9,0.493,0.533,1.0,1.3,0.798,0.4,2.1,2.4,5.0,1.0,0.1,0.9,0.4,10.5
Career,,,NBA,,529.0,92.0,19.2,2.6,6.0,0.437,0.8,2.2,0.361,1.8,3.8,0.481,0.503,0.8,0.9,0.814,0.2,1.6,1.9,3.9,1.0,0.1,0.7,0.8,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,282.0,58.0,20.5,3.3,7.3,0.447,1.0,2.7,0.375,2.2,4.6,0.49,0.517,0.8,0.9,0.81,0.3,1.9,2.1,4.4,0.9,0.1,0.8,0.5,8.3
4 seasons,,MIN,NBA,,247.0,34.0,17.7,1.9,4.5,0.419,0.5,1.5,0.333,1.4,3.0,0.464,0.477,0.8,0.9,0.819,0.2,1.3,1.5,3.3,1.0,0.1,0.7,1.1,5.1
