Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22.0,BAL,NBA,SG,77,,16.2,2.0,5.3,.375,,,,2.0,5.3,.375,.375,1.3,1.8,.728,,,1.8,2.6,,,,2.5,5.3
1965-66,23.0,PHI,NBA,PG,80,,27.5,3.7,10.0,.370,,,,3.7,10.0,.370,.370,1.6,2.2,.744,,,2.1,3.4,,,,3.1,9.0
1966-67,24.0,PHI,NBA,PG,81,,27.8,5.2,12.1,.431,,,,5.2,12.1,.431,.431,2.8,3.3,.838,,,3.3,3.7,,,,3.0,13.2
1967-68,25.0,PHI,NBA,PG,77,,26.7,5.4,13.5,.397,,,,5.4,13.5,.397,.397,2.1,2.6,.787,,,2.8,3.2,,,,2.9,12.8
1968-69,26.0,PHI,NBA,PG,81,,28.9,5.3,12.4,.430,,,,5.3,12.4,.430,.430,2.6,3.2,.809,,,3.1,3.6,,,,3.5,13.2
1969-70,27.0,PHI,NBA,PG,78,,22.3,4.7,10.9,.430,,,,4.7,10.9,.430,.430,2.4,2.9,.841,,,2.2,3.5,,,,2.7,11.8
1970-71,28.0,PHI,NBA,SG,41,,23.5,4.1,10.2,.402,,,,4.1,10.2,.402,.402,1.9,2.5,.782,,,1.6,3.1,,,,2.7,10.1
1971-72,29.0,MIL,NBA,PG,48,,21.5,3.0,7.4,.407,,,,3.0,7.4,.407,.407,1.5,1.9,.822,,,1.6,2.9,,,,2.3,7.5
1972-73,30.0,MIL,NBA,SG,27,,15.5,2.2,5.4,.407,,,,2.2,5.4,.407,.407,0.6,0.7,.889,,,1.1,2.1,,,,1.4,5.0
1973-74,31.0,Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute),Did Not Play (contract dispute)
1974-75,32.0,UTS,ABA,SG,71,,18.9,3.0,7.4,.405,0.1,0.4,.240,2.9,7.0,.413,.410,1.4,1.7,.823,0.2,0.9,1.1,2.1,0.6,0.0,1.1,2.1,7.5
1975-76,33.0,TOT,NBA,PG,17,,10.4,1.4,2.9,.469,,,,1.4,2.9,.469,.469,0.5,0.8,.692,0.0,0.5,0.5,1.9,0.4,0.0,,1.6,3.2
1975-76,33.0,DET,NBA,PG,1,,19.0,4.0,11.0,.364,,,,4.0,11.0,.364,.364,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,2.0,8.0
1975-76,33.0,PHI,NBA,PG,16,,9.8,1.2,2.4,.500,,,,1.2,2.4,.500,.500,0.6,0.8,.692,0.0,0.6,0.6,1.9,0.3,0.0,,1.6,2.9
Career,,,TOT,,678,,23.2,4.0,9.7,.409,0.1,0.4,.240,4.0,9.7,.410,.409,1.9,2.4,.802,0.2,0.8,2.2,3.1,0.5,0.0,1.1,2.7,9.8
,,,NBA,,607,,23.8,4.1,10.0,.409,,,,4.1,10.0,.409,.409,2.0,2.4,.800,0.0,0.5,2.3,3.2,0.4,0.0,,2.8,10.1
,,,ABA,,71,,18.9,3.0,7.4,.405,0.1,0.4,.240,2.9,7.0,.413,.410,1.4,1.7,.823,0.2,0.9,1.1,2.1,0.6,0.0,1.1,2.1,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,454,,25.8,4.7,11.3,.412,,,,4.7,11.3,.412,.412,2.2,2.7,.805,0.0,0.6,2.5,3.4,0.3,0.0,,3.0,11.5
1 season,,BAL,NBA,,77,,16.2,2.0,5.3,.375,,,,2.0,5.3,.375,.375,1.3,1.8,.728,,,1.8,2.6,,,,2.5,5.3
2 seasons,,MIL,NBA,,75,,19.3,2.7,6.7,.407,,,,2.7,6.7,.407,.407,1.2,1.4,.833,,,1.4,2.6,,,,2.0,6.6
1 season,,UTS,ABA,,71,,18.9,3.0,7.4,.405,0.1,0.4,.240,2.9,7.0,.413,.410,1.4,1.7,.823,0.2,0.9,1.1,2.1,0.6,0.0,1.1,2.1,7.5
1 season,,DET,NBA,,1,,19.0,4.0,11.0,.364,,,,4.0,11.0,.364,.364,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,2.0,8.0
