Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,23.0,NYK,NBA,,9.0,,10.1,2.0,5.4,0.367,0.9,1.3,0.667,3.8,0.2,1.7,4.9
1957-58,24.0,TOT,NBA,C,58.0,,15.5,3.3,8.1,0.413,1.1,1.6,0.688,5.2,0.6,1.9,7.8
1957-58,24.0,NYK,NBA,,12.0,,6.3,1.3,2.8,0.471,0.4,0.5,0.833,2.0,0.4,0.9,3.1
1957-58,24.0,DET,NBA,C,46.0,,17.9,3.8,9.4,0.409,1.3,1.9,0.678,6.0,0.7,2.1,9.0
1958-59,25.0,DET,NBA,PF,72.0,,28.6,5.5,13.4,0.413,3.2,4.2,0.762,8.3,1.2,2.7,14.3
1959-60,26.0,CIN,NBA,C,75.0,,27.5,5.1,12.9,0.393,3.2,4.5,0.716,8.3,2.8,3.0,13.4
1960-61,27.0,TOT,NBA,C,79.0,,26.1,4.6,11.8,0.386,2.6,3.6,0.718,8.5,2.3,3.5,11.7
1960-61,27.0,CIN,NBA,C,48.0,,23.8,4.2,10.6,0.395,2.4,3.3,0.731,8.8,2.2,3.1,10.9
1960-61,27.0,NYK,NBA,C,31.0,,29.8,5.1,13.6,0.374,2.9,4.1,0.701,8.1,2.4,4.0,13.1
1961-62,28.0,NYK,NBA,C,76.0,,28.9,5.3,13.5,0.392,1.3,2.2,0.571,6.3,2.1,3.4,11.9
1962-63,29.0,STL,NBA,C,73.0,,19.5,2.9,7.2,0.4,0.8,1.4,0.554,4.4,1.4,2.4,6.5
Career,,,NBA,,442.0,,24.4,4.4,11.2,0.398,2.0,2.9,0.694,6.9,1.7,2.8,10.9
,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,128.0,,25.7,4.6,12.0,0.388,1.5,2.4,0.633,6.2,1.9,3.2,10.8
2 seasons,,CIN,NBA,,123.0,,26.1,4.7,12.0,0.394,2.9,4.0,0.721,8.5,2.6,3.1,12.4
2 seasons,,DET,NBA,,118.0,,24.4,4.9,11.9,0.411,2.5,3.3,0.744,7.4,1.0,2.5,12.2
1 season,,STL,NBA,,73.0,,19.5,2.9,7.2,0.4,0.8,1.4,0.554,4.4,1.4,2.4,6.5
