Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22.0,INA,ABA,SG,56,,17.6,3.1,7.7,.396,0.1,0.5,.185,3.0,7.2,.410,.402,1.1,1.4,.821,0.6,1.1,1.6,2.3,0.6,0.1,1.4,1.5,7.3
1974-75,23.0,INA,ABA,SG,81,,34.9,6.5,15.4,.426,0.1,0.5,.190,6.4,14.9,.434,.429,1.8,2.2,.789,0.7,1.3,2.0,4.0,1.3,0.3,1.9,3.2,14.9
1975-76,24.0,TOT,ABA,"PG,SG",43,,21.3,2.7,7.2,.367,0.0,0.3,.167,2.6,7.0,.375,.370,1.3,1.7,.743,0.2,1.0,1.1,3.0,0.7,0.1,2.1,2.2,6.6
1975-76,24.0,SDS,ABA,PG,9,,29.6,4.0,12.0,.333,0.1,0.6,.200,3.9,11.4,.340,.338,2.4,3.6,.688,0.1,0.7,0.8,5.2,1.3,0.0,3.8,2.3,10.6
1975-76,24.0,KEN,ABA,SG,34,,19.1,2.3,6.0,.384,0.0,0.2,.143,2.3,5.8,.393,.387,1.0,1.2,.786,0.2,1.1,1.2,2.4,0.6,0.1,1.7,2.2,5.6
1976-77,25.0,Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella),Did Not Play (injury—patella)
Career,,,ABA,,180,,26.3,4.5,11.0,.410,0.1,0.5,.185,4.4,10.6,.420,.414,1.5,1.8,.786,0.6,1.1,1.7,3.2,0.9,0.2,1.8,2.5,10.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,INA,ABA,,137,,27.8,5.1,12.2,.418,0.1,0.5,.188,5.0,11.7,.428,.422,1.5,1.9,.798,0.7,1.2,1.9,3.3,1.0,0.2,1.7,2.5,11.8
1 season,,KEN,ABA,,34,,19.1,2.3,6.0,.384,0.0,0.2,.143,2.3,5.8,.393,.387,1.0,1.2,.786,0.2,1.1,1.2,2.4,0.6,0.1,1.7,2.2,5.6
1 season,,SDS,ABA,,9,,29.6,4.0,12.0,.333,0.1,0.6,.200,3.9,11.4,.340,.338,2.4,3.6,.688,0.1,0.7,0.8,5.2,1.3,0.0,3.8,2.3,10.6
