Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22.0,SEA,NBA,C,82.0,,20.2,2.7,6.0,0.442,2.5,3.5,0.702,,,5.9,1.0,,,3.1,7.8
1969-70,23.0,CHI,NBA,PF,64.0,,12.1,1.5,3.5,0.425,1.4,1.9,0.715,,,3.3,1.2,,,1.8,4.3
1970-71,24.0,BUF,NBA,PF,78.0,,35.6,7.9,16.8,0.471,4.6,6.2,0.74,,,10.7,4.5,,,3.4,20.4
1971-72,25.0,BUF,NBA,PF,77.0,,41.6,7.2,14.6,0.497,4.4,5.6,0.795,,,10.2,3.9,,,3.5,18.9
1972-73,26.0,BUF,NBA,SF,77.0,,39.6,6.9,13.8,0.505,3.6,4.7,0.78,,,11.1,5.1,,,2.7,17.5
1973-74,27.0,BUF,NBA,PF,74.0,,17.6,2.3,4.9,0.467,1.4,2.0,0.713,1.3,3.1,4.4,1.9,0.5,0.2,2.1,6.1
1974-75,28.0,ATL,NBA,PF,73.0,,10.9,1.5,3.6,0.433,0.8,1.2,0.702,0.9,1.6,2.5,1.1,0.3,0.1,1.4,3.9
Career,,,NBA,,525.0,,25.8,4.4,9.2,0.477,2.7,3.7,0.749,1.1,2.3,7.0,2.7,0.4,0.1,2.6,11.5
,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BUF,NBA,,306.0,,33.8,6.1,12.6,0.487,3.6,4.7,0.764,1.3,3.1,9.2,3.9,0.5,0.2,2.9,15.8
1 season,,SEA,NBA,,82.0,,20.2,2.7,6.0,0.442,2.5,3.5,0.702,,,5.9,1.0,,,3.1,7.8
1 season,,ATL,NBA,,73.0,,10.9,1.5,3.6,0.433,0.8,1.2,0.702,0.9,1.6,2.5,1.1,0.3,0.1,1.4,3.9
1 season,,CHI,NBA,,64.0,,12.1,1.5,3.5,0.425,1.4,1.9,0.715,,,3.3,1.2,,,1.8,4.3
