Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,21.0,DET,NBA,SG,73.0,9.0,20.0,2.8,6.4,0.443,1.1,2.7,0.415,1.7,3.7,0.463,0.53,0.9,1.0,0.855,0.3,2.1,2.4,1.7,0.6,0.2,0.9,1.2,7.6
2018-19,22.0,DET,NBA,SG,63.0,10.0,22.8,3.6,8.3,0.438,1.7,4.3,0.394,1.9,4.0,0.486,0.54,0.8,1.0,0.836,0.2,2.7,2.9,1.8,0.4,0.2,0.9,1.5,9.7
2019-20,23.0,DET,NBA,SG,28.0,25.0,32.9,5.4,12.2,0.442,2.6,6.5,0.399,2.8,5.7,0.491,0.548,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
2020-21,24.0,LAC,NBA,SG,63.0,17.0,19.6,3.1,6.6,0.476,1.6,3.6,0.446,1.5,3.0,0.511,0.597,0.4,0.5,0.839,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4,8.3
2021-22,25.0,LAC,NBA,SG,70.0,13.0,27.4,4.1,9.1,0.449,2.7,6.0,0.449,1.4,3.1,0.449,0.598,1.0,1.1,0.896,0.3,3.0,3.3,2.1,0.6,0.1,0.9,1.4,11.9
2022-23,26.0,TOT,NBA,SG,53.0,11.0,21.3,2.9,6.2,0.477,2.1,4.3,0.485,0.9,1.9,0.46,0.645,0.6,0.7,0.944,0.2,2.2,2.5,1.4,0.5,0.1,0.8,1.4,8.6
2022-23,26.0,LAC,NBA,SG,35.0,11.0,20.7,2.8,6.0,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8
2022-23,26.0,MEM,NBA,SG,18.0,0.0,22.3,3.2,6.4,0.5,2.8,5.3,0.537,0.4,1.2,0.333,0.72,0.8,0.9,0.938,0.3,2.3,2.7,2.1,0.6,0.0,0.6,1.4,10.1
Career,,,NBA,,350.0,85.0,23.1,3.5,7.7,0.453,1.9,4.3,0.434,1.6,3.4,0.476,0.574,0.9,1.0,0.876,0.3,2.5,2.8,1.9,0.5,0.1,0.9,1.5,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,168.0,41.0,23.1,3.5,7.5,0.46,2.1,4.6,0.448,1.4,2.9,0.48,0.598,0.7,0.8,0.891,0.2,2.6,2.8,1.7,0.5,0.1,0.8,1.4,9.7
3 seasons,,DET,NBA,,164.0,44.0,23.3,3.6,8.1,0.441,1.6,3.9,0.402,2.0,4.1,0.478,0.539,1.1,1.3,0.863,0.3,2.5,2.8,2.2,0.5,0.2,1.0,1.5,9.8
1 season,,MEM,NBA,,18.0,0.0,22.3,3.2,6.4,0.5,2.8,5.3,0.537,0.4,1.2,0.333,0.72,0.8,0.9,0.938,0.3,2.3,2.7,2.1,0.6,0.0,0.6,1.4,10.1
