Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,25.0,TOT,NBA,PF,68.0,,,2.3,7.1,0.326,2.5,3.8,0.65,,1.7,2.6,7.1
1949-50,25.0,TRI,NBA,PF,4.0,,,2.0,6.5,0.308,2.5,3.0,0.833,,2.0,3.3,6.5
1949-50,25.0,FTW,NBA,PF,64.0,,,2.3,7.1,0.327,2.5,3.9,0.641,,1.7,2.5,7.1
1950-51,26.0,FTW,NBA,PF,68.0,,,3.8,10.1,0.37,3.0,4.3,0.681,7.0,2.7,3.7,10.5
1951-52,27.0,FTW,NBA,PF,66.0,,32.5,2.8,7.3,0.388,3.3,4.9,0.668,7.8,3.2,4.0,8.9
1952-53,28.0,TOT,NBA,,69.0,,20.6,1.3,3.7,0.363,1.3,2.0,0.629,4.3,2.3,2.4,4.0
1952-53,28.0,FTW,NBA,,52.0,,18.9,1.1,3.4,0.33,1.2,1.9,0.616,4.0,2.1,2.3,3.4
1952-53,28.0,BLB,NBA,PF,17.0,,26.0,2.0,4.5,0.442,1.6,2.4,0.659,5.2,2.8,2.8,5.6
Career,,,NBA,,271.0,,26.5,2.5,7.0,0.363,2.5,3.8,0.662,6.3,2.5,3.2,7.6
,,,,,,,,,,,,,,,,,
4 seasons,,FTW,NBA,,250.0,,26.5,2.6,7.2,0.36,2.6,3.9,0.66,6.4,2.4,3.2,7.7
1 season,,BLB,NBA,,17.0,,26.0,2.0,4.5,0.442,1.6,2.4,0.659,5.2,2.8,2.8,5.6
1 season,,TRI,NBA,,4.0,,,2.0,6.5,0.308,2.5,3.0,0.833,,2.0,3.3,6.5
