Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,23.0,NYK,NBA,PG,80.0,,29.7,4.8,12.8,0.374,2.7,3.2,0.835,,,2.4,3.3,,,3.1,12.2
1965-66,24.0,NYK,NBA,PG,80.0,,32.7,5.5,14.0,0.391,3.0,3.5,0.861,,,3.5,5.3,,,3.5,13.9
1966-67,25.0,NYK,NBA,PG,65.0,,35.1,6.2,15.3,0.404,3.3,3.9,0.858,,,2.8,6.2,,,3.3,15.7
1967-68,26.0,NYK,NBA,PG,78.0,,21.3,3.0,8.1,0.369,1.7,2.1,0.82,,,2.2,3.2,,,2.2,7.7
1968-69,27.0,TOT,NBA,PG,85.0,,30.1,4.5,11.5,0.389,2.5,3.1,0.799,,,3.5,4.7,,,3.2,11.4
1968-69,27.0,NYK,NBA,PG,32.0,,26.1,3.3,9.7,0.346,2.3,2.7,0.849,,,3.0,4.3,,,3.0,9.0
1968-69,27.0,DET,NBA,PG,53.0,,32.6,5.1,12.5,0.409,2.6,3.4,0.775,,,3.8,5.0,,,3.4,12.9
1969-70,28.0,DET,NBA,PG,82.0,,29.5,4.4,10.7,0.413,2.3,2.9,0.812,,,2.4,3.8,,,3.0,11.2
1970-71,29.0,DET,NBA,PG,82.0,,23.6,3.4,8.7,0.385,1.5,1.8,0.801,,,1.9,3.2,,,2.2,8.2
1971-72,30.0,DET,NBA,PG,79.0,,26.2,3.3,8.9,0.373,2.1,2.6,0.808,,,2.2,3.7,,,2.5,8.7
1972-73,31.0,BUF,NBA,PG,67.0,,21.9,2.4,6.4,0.38,1.3,1.5,0.867,,,1.8,3.6,,,2.3,6.1
1973-74,32.0,KCO,NBA,PG,44.0,,18.9,1.8,4.4,0.406,0.8,0.9,0.868,0.2,0.8,1.0,2.2,0.7,0.1,1.9,4.3
Career,,,NBA,,742.0,,27.2,4.0,10.3,0.388,2.2,2.6,0.83,0.2,0.8,2.4,4.0,0.7,0.1,2.8,10.2
,,,,,,,,,,,,,,,,,,,,,
5 seasons,,NYK,NBA,,335.0,,29.2,4.7,12.2,0.383,2.6,3.1,0.846,,,2.8,4.4,,,3.0,11.9
4 seasons,,DET,NBA,,296.0,,27.5,4.0,10.0,0.396,2.1,2.6,0.8,,,2.4,3.8,,,2.7,10.0
1 season,,BUF,NBA,,67.0,,21.9,2.4,6.4,0.38,1.3,1.5,0.867,,,1.8,3.6,,,2.3,6.1
1 season,,KCO,NBA,,44.0,,18.9,1.8,4.4,0.406,0.8,0.9,0.868,0.2,0.8,1.0,2.2,0.7,0.1,1.9,4.3
