Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23.0,STL,NBA,SG,32.0,,6.9,0.8,2.7,0.31,,,,0.8,2.7,0.31,0.31,0.4,0.6,0.684,,,1.1,1.4,,1.1,2.1
1967-68,24.0,SEA,NBA,SG,76.0,,23.6,3.6,9.2,0.396,,,,3.6,9.2,0.396,0.396,2.4,3.1,0.79,,,4.7,3.7,,3.0,9.7
1968-69,25.0,SEA,NBA,SG,76.0,,14.8,1.9,4.9,0.392,,,,1.9,4.9,0.392,0.392,1.3,1.8,0.701,,,2.8,2.5,,2.4,5.1
1969-70,26.0,KEN,ABA,SG,40.0,,12.3,1.4,3.7,0.374,0.2,0.5,0.368,1.2,3.2,0.375,0.398,1.0,1.2,0.891,0.6,1.1,1.7,2.2,1.5,2.0,4.0
Career,,,TOT,,224.0,,16.2,2.3,5.8,0.387,0.2,0.5,0.368,2.2,5.7,0.387,0.39,1.5,1.9,0.768,0.6,1.1,3.0,2.7,1.5,2.3,6.0
,,,NBA,,184.0,,17.1,2.4,6.3,0.389,,,,2.4,6.3,0.389,0.389,1.6,2.1,0.753,,,3.3,2.8,,2.4,6.5
,,,ABA,,40.0,,12.3,1.4,3.7,0.374,0.2,0.5,0.368,1.2,3.2,0.375,0.398,1.0,1.2,0.891,0.6,1.1,1.7,2.2,1.5,2.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SEA,NBA,,152.0,,19.2,2.8,7.0,0.395,,,,2.8,7.0,0.395,0.395,1.8,2.4,0.757,,,3.7,3.1,,2.7,7.4
1 season,,KEN,ABA,,40.0,,12.3,1.4,3.7,0.374,0.2,0.5,0.368,1.2,3.2,0.375,0.398,1.0,1.2,0.891,0.6,1.1,1.7,2.2,1.5,2.0,4.0
1 season,,STL,NBA,,32.0,,6.9,0.8,2.7,0.31,,,,0.8,2.7,0.31,0.31,0.4,0.6,0.684,,,1.1,1.4,,1.1,2.1
