Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22.0,SFW,NBA,C,74.0,,16.9,2.8,6.8,0.408,1.4,2.2,0.633,,,7.4,1.0,,,2.3,7.0
1967-68,23.0,SFW,NBA,C,82.0,,32.9,4.5,10.9,0.417,2.8,4.1,0.684,,,13.9,1.6,,,4.0,11.9
1968-69,24.0,SFW,NBA,PF,65.0,,34.4,4.1,10.4,0.398,2.5,3.9,0.625,,,13.8,1.3,,,3.5,10.7
1969-70,25.0,SFW,NBA,C,82.0,,32.2,4.4,10.0,0.44,2.2,3.7,0.593,,,11.3,1.0,,,3.2,11.0
1970-71,26.0,SFW,NBA,C,82.0,,17.0,2.4,5.2,0.453,1.4,2.4,0.558,,,7.0,0.8,,,1.7,6.1
1971-72,27.0,GSW,NBA,PF,78.0,,34.3,3.3,7.0,0.471,1.5,2.8,0.541,,,14.5,1.1,,,3.1,8.1
1972-73,28.0,GSW,NBA,PF,66.0,,22.4,2.6,5.5,0.466,1.1,2.0,0.565,,,9.1,0.5,,,2.8,6.3
1973-74,29.0,GSW,NBA,PF,54.0,,30.4,2.4,5.3,0.454,1.1,2.0,0.579,3.5,7.6,11.1,1.3,0.5,0.3,3.3,5.9
1974-75,30.0,TOT,NBA,"C,PF",80.0,,30.7,2.2,5.3,0.412,1.5,2.2,0.672,3.6,5.9,9.5,1.3,0.4,0.3,3.6,5.9
1974-75,30.0,ATL,NBA,PF,9.0,,19.7,1.3,4.0,0.333,3.6,4.3,0.821,2.7,5.1,7.8,0.9,0.1,0.4,2.8,6.2
1974-75,30.0,PHI,NBA,C,71.0,,32.1,2.3,5.5,0.419,1.2,1.9,0.63,3.7,6.0,9.7,1.4,0.4,0.2,3.7,5.8
1975-76,31.0,PHI,NBA,C,79.0,,18.0,1.6,3.6,0.436,0.8,1.2,0.663,2.1,3.7,5.7,0.7,0.3,0.3,2.4,3.9
Career,,,NBA,,742.0,,26.8,3.0,7.0,0.432,1.6,2.7,0.614,3.0,5.5,10.3,1.1,0.4,0.3,3.0,7.7
,,,,,,,,,,,,,,,,,,,,,
8 seasons,,"SFW,GSW",NBA,,583.0,,27.5,3.4,7.7,0.434,1.8,2.9,0.605,3.5,7.6,11.0,1.1,0.5,0.3,3.0,8.5
2 seasons,,PHI,NBA,,150.0,,24.7,1.9,4.5,0.426,1.0,1.6,0.644,2.9,4.7,7.6,1.0,0.3,0.3,3.0,4.8
1 season,,ATL,NBA,,9.0,,19.7,1.3,4.0,0.333,3.6,4.3,0.821,2.7,5.1,7.8,0.9,0.1,0.4,2.8,6.2
