Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,25.0,ATL,NBA,SG,15.0,11.0,26.9,4.1,10.1,0.408,1.0,4.0,0.25,3.1,6.1,0.511,0.457,1.5,1.9,0.759,0.7,4.0,4.7,1.9,1.3,0.1,0.9,1.7,10.7
2018-19,26.0,GSW,NBA,SG,32.0,0.0,11.7,1.8,4.0,0.441,0.8,2.1,0.397,0.9,1.8,0.492,0.547,0.6,0.7,0.864,0.3,1.8,2.0,0.4,0.4,0.0,0.3,0.9,4.9
2019-20,27.0,GSW,NBA,SG,49.0,36.0,29.0,4.3,10.4,0.417,1.7,4.9,0.356,2.6,5.6,0.471,0.5,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7
2020-21,28.0,GSW,NBA,SG,57.0,1.0,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5
2021-22,29.0,GSW,NBA,SG,63.0,5.0,19.9,2.7,6.1,0.441,1.0,3.0,0.337,1.7,3.1,0.541,0.523,1.0,1.2,0.88,0.4,2.8,3.2,1.0,0.6,0.1,0.6,1.5,7.4
2022-23,30.0,PHO,NBA,SG,70.0,5.0,20.7,2.7,6.2,0.444,1.5,3.4,0.446,1.2,2.7,0.443,0.568,1.3,1.5,0.902,0.5,2.6,3.1,1.4,0.4,0.1,1.1,1.6,8.3
Career,,,NBA,,286.0,58.0,20.9,2.9,6.6,0.436,1.3,3.5,0.379,1.6,3.1,0.501,0.536,1.2,1.4,0.877,0.5,2.9,3.4,1.4,0.7,0.1,0.8,1.6,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,GSW,NBA,,201.0,42.0,20.6,2.8,6.4,0.437,1.3,3.4,0.366,1.6,3.0,0.517,0.534,1.2,1.3,0.88,0.4,3.0,3.4,1.4,0.7,0.1,0.7,1.6,8.1
1 season,,PHO,NBA,,70.0,5.0,20.7,2.7,6.2,0.444,1.5,3.4,0.446,1.2,2.7,0.443,0.568,1.3,1.5,0.902,0.5,2.6,3.1,1.4,0.4,0.1,1.1,1.6,8.3
1 season,,ATL,NBA,,15.0,11.0,26.9,4.1,10.1,0.408,1.0,4.0,0.25,3.1,6.1,0.511,0.457,1.5,1.9,0.759,0.7,4.0,4.7,1.9,1.3,0.1,0.9,1.7,10.7
