Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28.0,ROC,BAA,,36,,,1.5,5.4,.285,0.4,0.6,.619,,1.1,1.0,3.4
1949-50,29.0,SYR,NBA,,60,,,2.3,7.0,.333,0.9,1.4,.635,,2.6,1.8,5.5
1950-51,30.0,Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired)
1951-52,31.0,Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League),Did Not Play (other—Coach of the Year in the American Basketball League)
1952-53,32.0,MLH,NBA,SG,7,,9.7,0.4,3.4,.125,0.3,0.4,.667,1.3,1.3,2.1,1.1
Career,,,TOT,,103,,9.7,1.9,6.2,.310,0.7,1.1,.633,1.3,2.0,1.5,4.5
,,,NBA,,67,,9.7,2.1,6.6,.321,0.8,1.3,.636,1.3,2.5,1.8,5.1
,,,BAA,,36,,,1.5,5.4,.285,0.4,0.6,.619,,1.1,1.0,3.4
,,,,,,,,,,,,,,,,,
1 season,,SYR,NBA,,60,,,2.3,7.0,.333,0.9,1.4,.635,,2.6,1.8,5.5
1 season,,ROC,BAA,,36,,,1.5,5.4,.285,0.4,0.6,.619,,1.1,1.0,3.4
1 season,,MLH,NBA,,7,,9.7,0.4,3.4,.125,0.3,0.4,.667,1.3,1.3,2.1,1.1
