Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28.0,TOT,BAA,,61.0,,,4.5,13.7,0.326,2.3,3.0,0.762,,1.8,2.7,11.2
1948-49,28.0,INJ,BAA,,8.0,,,3.9,14.4,0.27,2.1,3.0,0.708,,2.4,3.1,9.9
1948-49,28.0,BLB,BAA,,53.0,,,4.5,13.6,0.335,2.3,3.0,0.771,,1.7,2.7,11.4
1949-50,29.0,TOT,NBA,,34.0,,,1.4,5.4,0.25,0.7,0.9,0.781,,0.7,1.2,3.4
1949-50,29.0,BLB,NBA,,18.0,,,1.4,6.1,0.227,0.7,1.1,0.684,,1.0,1.3,3.5
1949-50,29.0,PHW,NBA,,16.0,,,1.3,4.6,0.284,0.8,0.8,0.923,,0.4,1.1,3.4
Career,,,TOT,,95.0,,,3.3,10.7,0.312,1.7,2.2,0.765,,1.4,2.2,8.4
,,,BAA,,61.0,,,4.5,13.7,0.326,2.3,3.0,0.762,,1.8,2.7,11.2
,,,NBA,,34.0,,,1.4,5.4,0.25,0.7,0.9,0.781,,0.7,1.2,3.4
,,,,,,,,,,,,,,,,,
2 seasons,,BLB,BAA,,71.0,,,3.7,11.7,0.321,1.9,2.5,0.761,,1.5,2.3,9.4
1 season,,PHW,NBA,,16.0,,,1.3,4.6,0.284,0.8,0.8,0.923,,0.4,1.1,3.4
1 season,,INJ,BAA,,8.0,,,3.9,14.4,0.27,2.1,3.0,0.708,,2.4,3.1,9.9
