Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,22.0,DET,NBA,SG,57.0,,14.8,2.6,7.0,0.368,1.2,1.8,0.71,1.9,1.8,2.4,6.4
1963-64,23.0,TOT,NBA,SG,66.0,,22.1,3.6,9.6,0.374,1.9,2.7,0.712,2.1,2.8,2.7,9.1
1963-64,23.0,DET,NBA,SG,1.0,,2.0,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,2.0,2.0
1963-64,23.0,BAL,NBA,SG,65.0,,22.4,3.6,9.6,0.375,1.9,2.7,0.712,2.1,2.8,2.7,9.2
1964-65,24.0,BAL,NBA,PG,80.0,,30.2,5.1,12.0,0.424,2.7,3.5,0.754,2.9,3.7,4.0,12.8
1965-66,25.0,BAL,NBA,SG,74.0,,33.2,7.1,17.1,0.416,4.0,4.8,0.83,3.1,4.8,3.7,18.2
1966-67,26.0,BAL,NBA,SG,76.0,,33.9,6.8,17.2,0.398,4.5,5.4,0.825,4.6,3.8,3.9,18.2
1967-68,27.0,BAL,NBA,PG,77.0,,29.8,5.9,14.6,0.406,4.0,5.1,0.778,3.2,3.3,3.9,15.9
1968-69,28.0,BAL,NBA,PG,80.0,,39.2,9.0,20.5,0.438,4.7,5.8,0.803,3.3,4.8,3.7,22.6
1969-70,29.0,BAL,NBA,SG,55.0,,37.0,8.7,19.7,0.441,4.6,5.4,0.849,3.1,5.3,3.3,21.9
1970-71,30.0,BAL,NBA,SG,82.0,,27.6,5.9,14.5,0.403,3.4,4.0,0.831,2.7,3.7,3.0,15.1
1971-72,31.0,TOT,NBA,SG,76.0,,23.3,4.5,10.6,0.422,3.5,4.2,0.822,2.4,2.6,2.8,12.4
1971-72,31.0,BAL,NBA,SG,2.0,,21.0,2.0,8.5,0.235,2.5,4.0,0.625,2.5,4.0,2.5,6.5
1971-72,31.0,PHI,NBA,SG,74.0,,23.4,4.6,10.7,0.426,3.5,4.2,0.827,2.4,2.5,2.8,12.6
1972-73,32.0,PHI,NBA,SG,32.0,,29.8,5.3,13.3,0.396,3.3,4.1,0.823,3.5,4.6,3.3,13.9
Career,,,NBA,,755.0,,29.4,5.9,14.3,0.413,3.5,4.3,0.803,3.0,3.7,3.4,15.3
,,,,,,,,,,,,,,,,,
9 seasons,,BAL,NBA,,591.0,,31.6,6.5,15.6,0.415,3.7,4.6,0.803,3.1,4.0,3.5,16.6
2 seasons,,PHI,NBA,,106.0,,25.3,4.8,11.5,0.415,3.4,4.2,0.826,2.7,3.2,2.9,13.0
2 seasons,,DET,NBA,,58.0,,14.6,2.5,6.9,0.367,1.2,1.7,0.71,1.9,1.8,2.4,6.3
