Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,24.0,MNL,NBA,SG,10,,7.1,1.0,3.9,.256,0.1,0.2,.500,0.6,0.9,0.8,2.1
1960-61,25.0,Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL)
1961-62,26.0,Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL)
1962-63,27.0,TOT,NBA,SG,42,,16.3,2.2,5.8,.385,0.6,1.2,.551,2.0,2.0,2.2,5.1
1962-63,27.0,STL,NBA,SG,9,,6.4,0.9,2.2,.400,0.3,1.0,.333,0.7,0.8,1.4,2.1
1962-63,27.0,CHZ,NBA,SG,33,,19.0,2.6,6.8,.384,0.7,1.2,.600,2.4,2.3,2.5,5.9
Career,,,NBA,,52,,14.5,2.0,5.4,.367,0.5,1.0,.549,1.8,1.8,2.0,4.5
,,,,,,,,,,,,,,,,,
1 season,,CHZ,NBA,,33,,19.0,2.6,6.8,.384,0.7,1.2,.600,2.4,2.3,2.5,5.9
1 season,,MNL,NBA,,10,,7.1,1.0,3.9,.256,0.1,0.2,.500,0.6,0.9,0.8,2.1
1 season,,STL,NBA,,9,,6.4,0.9,2.2,.400,0.3,1.0,.333,0.7,0.8,1.4,2.1
