Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22.0,BAL,NBA,SF,74.0,,17.9,3.8,8.5,0.448,2.0,2.5,0.775,,,4.2,1.0,,,2.7,9.6
1967-68,23.0,BAL,NBA,SF,82.0,,24.8,5.2,11.4,0.46,3.0,3.8,0.796,,,5.8,1.3,,,3.0,13.5
1968-69,24.0,BAL,NBA,SF,82.0,,33.0,6.2,13.5,0.455,3.6,4.3,0.83,,,7.4,2.8,,,3.4,15.9
1969-70,25.0,BAL,NBA,SF,82.0,,35.9,8.1,16.6,0.489,3.5,4.1,0.844,,,6.5,2.6,,,3.0,19.7
1970-71,26.0,BAL,NBA,SF,82.0,,35.6,7.6,16.6,0.46,3.5,4.2,0.848,,,6.3,2.6,,,3.2,18.8
1971-72,27.0,BAL,NBA,SF,78.0,,37.5,8.8,18.5,0.478,4.6,5.1,0.894,,,6.8,2.2,,,3.1,22.3
1972-73,28.0,HOU,NBA,SF,81.0,,37.3,7.7,16.5,0.468,3.1,3.6,0.849,,,6.2,3.6,,,3.0,18.5
1973-74,29.0,TOT,NBA,SF,74.0,,24.1,4.8,9.6,0.501,2.1,2.4,0.855,0.8,2.3,3.1,2.3,0.6,0.4,2.9,11.7
1973-74,29.0,HOU,NBA,SF,47.0,,23.4,4.5,9.4,0.474,1.7,2.1,0.837,0.6,1.6,2.3,2.6,0.5,0.2,2.6,10.7
1973-74,29.0,BUF,NBA,SF,27.0,,25.2,5.4,9.9,0.545,2.6,3.0,0.877,1.1,3.4,4.5,1.7,0.9,0.7,3.4,13.4
1974-75,30.0,BUF,NBA,SF,81.0,,26.5,4.7,10.3,0.455,2.4,2.7,0.869,1.3,3.2,4.5,1.6,0.6,0.2,2.9,11.8
1975-76,31.0,TOT,NBA,SF,79.0,,24.2,4.3,10.3,0.422,2.0,2.4,0.856,0.9,2.3,3.2,1.8,0.6,0.1,2.1,10.7
1975-76,31.0,BUF,NBA,SF,12.0,,23.2,3.4,7.8,0.436,2.3,2.8,0.818,0.8,2.5,3.3,1.9,0.6,0.5,2.5,9.1
1975-76,31.0,CHI,NBA,SF,67.0,,24.3,4.5,10.7,0.421,2.0,2.3,0.865,0.9,2.3,3.2,1.8,0.6,0.1,2.0,11.0
1976-77,32.0,CHI,NBA,SF,54.0,,16.1,3.1,6.6,0.465,0.6,0.7,0.795,0.5,1.2,1.7,1.1,0.2,0.1,1.6,6.8
Career,,,NBA,,849.0,,29.0,6.0,12.8,0.465,2.8,3.4,0.843,0.9,2.3,5.2,2.1,0.5,0.2,2.8,14.8
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,BAL,NBA,,480.0,,31.0,6.7,14.3,0.468,3.4,4.0,0.838,,,6.2,2.1,,,3.1,16.7
2 seasons,,HOU,NBA,,128.0,,32.2,6.5,13.9,0.469,2.6,3.0,0.846,0.6,1.6,4.7,3.2,0.5,0.2,2.9,15.6
2 seasons,,CHI,NBA,,121.0,,20.7,3.9,8.9,0.435,1.4,1.6,0.851,0.7,1.8,2.5,1.5,0.4,0.1,1.8,9.1
3 seasons,,BUF,NBA,,120.0,,25.9,4.7,10.0,0.473,2.4,2.8,0.866,1.2,3.2,4.4,1.7,0.7,0.3,3.0,11.9
