Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23.0,WAS,NBA,SG,18.0,0.0,12.6,1.3,3.1,0.429,1.1,2.6,0.413,0.3,0.6,0.5,0.598,1.7,1.9,0.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4
2020-21,24.0,WAS,NBA,SG,64.0,24.0,16.2,1.5,3.7,0.409,1.2,3.1,0.384,0.3,0.6,0.538,0.57,1.3,1.5,0.884,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5
2021-22,25.0,HOU,NBA,SG,65.0,33.0,26.3,2.8,7.1,0.399,2.1,5.9,0.36,0.7,1.2,0.6,0.55,2.2,2.8,0.794,0.5,2.4,2.9,1.0,0.9,0.4,0.6,2.6,10.0
2022-23,26.0,TOT,NBA,SG,51.0,0.0,12.8,1.3,3.6,0.366,1.2,3.3,0.353,0.2,0.4,0.474,0.524,0.8,0.9,0.896,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.7
2022-23,26.0,HOU,NBA,SG,45.0,0.0,13.4,1.3,3.8,0.353,1.2,3.4,0.342,0.2,0.3,0.467,0.509,0.9,1.0,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8
2022-23,26.0,ATL,NBA,SG,6.0,0.0,8.7,1.3,2.7,0.5,1.0,2.0,0.5,0.3,0.7,0.5,0.688,0.3,0.5,0.667,0.0,1.2,1.2,0.3,0.2,0.0,0.2,0.7,4.0
Career,,,NBA,,198.0,57.0,18.3,1.9,4.7,0.397,1.5,4.0,0.368,0.4,0.7,0.559,0.553,1.5,1.8,0.843,0.3,1.5,1.9,0.6,0.6,0.2,0.4,1.8,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,110.0,33.0,21.0,2.2,5.7,0.387,1.7,4.9,0.355,0.5,0.8,0.578,0.539,1.7,2.0,0.818,0.4,1.9,2.3,0.8,0.7,0.3,0.5,2.0,7.9
2 seasons,,WAS,NBA,,82.0,24.0,15.4,1.5,3.6,0.413,1.2,3.0,0.389,0.3,0.6,0.531,0.575,1.4,1.6,0.891,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5
1 season,,ATL,NBA,,6.0,0.0,8.7,1.3,2.7,0.5,1.0,2.0,0.5,0.3,0.7,0.5,0.688,0.3,0.5,0.667,0.0,1.2,1.2,0.3,0.2,0.0,0.2,0.7,4.0
