Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23.0,NYK,NBA,SF,48.0,,11.7,1.7,4.6,0.363,0.9,1.2,0.724,,,2.4,0.7,,,1.3,4.3
1969-70,24.0,NYK,NBA,SF,37.0,,6.4,1.1,2.7,0.386,0.5,0.5,0.947,,,1.4,0.5,,,1.1,2.6
1970-71,25.0,BUF,NBA,SF,76.0,,35.1,8.3,17.6,0.471,3.6,4.6,0.791,,,7.5,2.0,,,2.9,20.2
1971-72,26.0,ATL,NBA,SF,75.0,,17.1,3.1,6.3,0.492,1.7,2.2,0.768,,,2.9,0.7,,,1.8,7.9
1972-73,27.0,TOT,NBA,SF,58.0,,15.8,3.3,7.3,0.446,1.3,1.6,0.806,,,3.6,1.1,,,2.3,7.8
1972-73,27.0,ATL,NBA,SF,32.0,,9.9,1.9,4.2,0.455,0.7,1.0,0.71,,,2.1,0.7,,,1.7,4.5
1972-73,27.0,PHI,NBA,SF,26.0,,23.2,4.9,11.2,0.441,2.0,2.4,0.855,,,5.5,1.7,,,3.1,11.9
1973-74,28.0,PHI,NBA,SF,56.0,,14.5,2.7,6.6,0.414,1.6,1.8,0.873,0.4,2.0,2.4,1.1,0.4,0.1,2.4,7.0
1974-75,29.0,KCO,NBA,SF,29.0,,4.8,0.9,1.9,0.5,0.3,0.4,0.833,0.1,0.3,0.4,0.2,0.1,0.1,0.7,2.2
Career,,,NBA,,379.0,,17.5,3.6,7.9,0.453,1.7,2.1,0.798,0.3,1.4,3.5,1.0,0.3,0.1,2.0,8.8
,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,107.0,,15.0,2.8,5.7,0.484,1.4,1.8,0.759,,,2.7,0.7,,,1.8,6.9
2 seasons,,NYK,NBA,,85.0,,9.4,1.4,3.8,0.37,0.7,0.9,0.779,,,2.0,0.6,,,1.2,3.5
2 seasons,,PHI,NBA,,82.0,,17.2,3.4,8.0,0.426,1.7,2.0,0.866,0.4,2.0,3.4,1.3,0.4,0.1,2.6,8.6
1 season,,BUF,NBA,,76.0,,35.1,8.3,17.6,0.471,3.6,4.6,0.791,,,7.5,2.0,,,2.9,20.2
1 season,,KCO,NBA,,29.0,,4.8,0.9,1.9,0.5,0.3,0.4,0.833,0.1,0.3,0.4,0.2,0.1,0.1,0.7,2.2
