Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1975-76,22.0,MIL,NBA,PF,65.0,,14.6,1.8,3.8,0.46,0.9,1.5,0.577,1.5,2.6,4.0,0.6,0.1,0.6,2.4,4.4
1976-77,23.0,TOT,NBA,PF,9.0,,5.8,0.6,2.1,0.263,0.3,0.8,0.429,1.1,0.7,1.8,0.3,0.0,0.4,1.3,1.4
1976-77,23.0,IND,NBA,PF,2.0,,10.5,1.5,3.5,0.429,0.5,2.0,0.25,2.0,1.5,3.5,1.5,0.0,1.0,2.5,3.5
1976-77,23.0,BUF,NBA,PF,2.0,,3.5,0.0,1.5,0.0,1.0,1.5,0.667,0.0,1.5,1.5,0.0,0.0,0.0,1.0,1.0
1976-77,23.0,POR,NBA,PF,5.0,,4.8,0.4,1.8,0.222,0.0,0.0,,1.2,0.0,1.2,0.0,0.0,0.4,1.0,0.8
Career,,,NBA,,74.0,,13.5,1.6,3.6,0.446,0.8,1.4,0.567,1.4,2.3,3.8,0.5,0.1,0.6,2.2,4.0
,,,,,,,,,,,,,,,,,,,,,
1 season,,MIL,NBA,,65.0,,14.6,1.8,3.8,0.46,0.9,1.5,0.577,1.5,2.6,4.0,0.6,0.1,0.6,2.4,4.4
1 season,,POR,NBA,,5.0,,4.8,0.4,1.8,0.222,0.0,0.0,,1.2,0.0,1.2,0.0,0.0,0.4,1.0,0.8
1 season,,IND,NBA,,2.0,,10.5,1.5,3.5,0.429,0.5,2.0,0.25,2.0,1.5,3.5,1.5,0.0,1.0,2.5,3.5
1 season,,BUF,NBA,,2.0,,3.5,0.0,1.5,0.0,1.0,1.5,0.667,0.0,1.5,1.5,0.0,0.0,0.0,1.0,1.0
