Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,25.0,CAR,ABA,SG,64.0,,14.1,2.3,6.5,0.357,0.2,0.8,0.245,2.1,5.7,0.373,0.372,1.7,2.2,0.775,0.7,1.2,1.9,1.9,,,1.8,2.3,6.5
1972-73,26.0,CAR,ABA,SG,84.0,,21.6,3.9,7.8,0.498,0.1,0.3,0.333,3.8,7.5,0.505,0.505,1.7,2.4,0.711,1.3,1.8,3.1,2.7,1.4,,2.2,3.0,9.6
1973-74,27.0,CAR,ABA,SG,84.0,,30.7,5.0,10.4,0.485,0.0,0.3,0.074,5.0,10.1,0.498,0.486,3.0,3.9,0.772,1.4,2.8,4.3,4.1,3.0,0.3,2.8,3.9,13.1
1974-75,28.0,KEN,ABA,SG,72.0,,27.4,3.6,8.1,0.44,0.0,0.1,0.125,3.5,8.0,0.444,0.441,1.4,1.9,0.754,0.9,2.8,3.7,5.1,1.8,0.2,2.3,3.2,8.6
1975-76,29.0,TOT,ABA,SG,73.0,,26.4,3.7,8.6,0.423,0.0,0.2,0.25,3.6,8.5,0.426,0.426,1.9,2.3,0.8,0.7,2.1,2.8,4.2,1.9,0.3,2.7,3.8,9.2
1975-76,29.0,KEN,ABA,SG,43.0,,28.6,3.2,7.6,0.424,0.0,0.0,0.5,3.2,7.6,0.423,0.425,1.3,1.6,0.783,0.6,2.6,3.1,4.7,1.9,0.3,2.5,3.8,7.7
1975-76,29.0,NYA,ABA,SG,30.0,,23.2,4.3,10.1,0.422,0.1,0.3,0.2,4.2,9.8,0.43,0.426,2.7,3.4,0.812,0.9,1.5,2.4,3.5,1.9,0.3,2.8,3.7,11.3
1976-77,30.0,DEN,NBA,SG,72.0,,27.8,3.4,7.7,0.445,,,,3.4,7.7,0.445,0.445,1.4,1.8,0.744,0.7,2.5,3.2,4.5,1.5,0.2,,3.5,8.2
1977-78,31.0,TOT,NBA,PG,70.0,,14.6,1.8,4.0,0.439,,,,1.8,4.0,0.439,0.439,0.8,1.0,0.781,0.3,1.3,1.6,2.2,0.8,0.1,1.3,1.8,4.3
1977-78,31.0,BUF,NBA,PG,41.0,,17.7,2.0,4.5,0.44,,,,2.0,4.5,0.44,0.44,1.2,1.5,0.794,0.3,1.6,1.8,3.0,1.0,0.0,1.7,2.1,5.2
1977-78,31.0,PHI,NBA,PG,29.0,,10.1,1.4,3.3,0.438,,,,1.4,3.3,0.438,0.438,0.2,0.3,0.7,0.3,1.0,1.3,1.2,0.6,0.1,0.8,1.2,3.1
1978-79,32.0,PHO,NBA,SG,36.0,,12.9,1.7,3.7,0.47,,,,1.7,3.7,0.47,0.47,1.2,1.3,0.913,0.7,1.2,1.9,1.7,0.5,0.0,1.5,1.4,4.6
Career,,,TOT,,555.0,,22.9,3.3,7.4,0.449,0.1,0.3,0.218,3.3,7.2,0.457,0.453,1.7,2.2,0.767,0.9,2.1,2.9,3.4,1.7,0.2,2.2,3.0,8.4
,,,ABA,,377.0,,24.4,3.8,8.4,0.45,0.1,0.3,0.218,3.7,8.0,0.46,0.454,2.0,2.6,0.762,1.0,2.2,3.2,3.6,2.0,0.3,2.4,3.3,9.6
,,,NBA,,178.0,,19.6,2.4,5.4,0.447,,,,2.4,5.4,0.447,0.447,1.1,1.4,0.786,0.5,1.8,2.3,3.0,1.0,0.1,1.4,2.4,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CAR,ABA,,232.0,,22.8,3.9,8.4,0.462,0.1,0.4,0.221,3.8,7.9,0.476,0.468,2.2,2.9,0.754,1.2,2.0,3.2,3.0,2.2,0.3,2.3,3.1,10.0
2 seasons,,KEN,ABA,,115.0,,27.8,3.4,7.9,0.434,0.0,0.1,0.2,3.4,7.8,0.437,0.435,1.4,1.8,0.763,0.8,2.7,3.5,4.9,1.8,0.2,2.4,3.4,8.3
1 season,,DEN,NBA,,72.0,,27.8,3.4,7.7,0.445,,,,3.4,7.7,0.445,0.445,1.4,1.8,0.744,0.7,2.5,3.2,4.5,1.5,0.2,,3.5,8.2
1 season,,BUF,NBA,,41.0,,17.7,2.0,4.5,0.44,,,,2.0,4.5,0.44,0.44,1.2,1.5,0.794,0.3,1.6,1.8,3.0,1.0,0.0,1.7,2.1,5.2
1 season,,PHO,NBA,,36.0,,12.9,1.7,3.7,0.47,,,,1.7,3.7,0.47,0.47,1.2,1.3,0.913,0.7,1.2,1.9,1.7,0.5,0.0,1.5,1.4,4.6
1 season,,NYA,ABA,,30.0,,23.2,4.3,10.1,0.422,0.1,0.3,0.2,4.2,9.8,0.43,0.426,2.7,3.4,0.812,0.9,1.5,2.4,3.5,1.9,0.3,2.8,3.7,11.3
1 season,,PHI,NBA,,29.0,,10.1,1.4,3.3,0.438,,,,1.4,3.3,0.438,0.438,0.2,0.3,0.7,0.3,1.0,1.3,1.2,0.6,0.1,0.8,1.2,3.1
