Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23.0,CHI,NBA,SF,43.0,,9.4,1.3,3.9,0.339,0.5,1.0,0.477,,,2.1,0.4,,,1.0,3.1
1972-73,24.0,TOT,NBA,SF,59.0,,19.3,1.9,5.8,0.337,0.7,1.1,0.597,,,3.9,0.9,,,1.7,4.6
1972-73,24.0,CHI,NBA,SF,3.0,,11.0,2.7,4.3,0.615,0.0,0.7,0.0,,,3.0,0.3,,,1.3,5.3
1972-73,24.0,SEA,NBA,SF,56.0,,19.7,1.9,5.9,0.326,0.7,1.2,0.615,,,4.0,0.9,,,1.8,4.5
1973-74,25.0,SEA,NBA,SF,69.0,,29.8,3.2,8.3,0.389,0.9,1.6,0.607,1.6,3.6,5.2,1.4,0.8,0.4,2.6,7.4
1974-75,26.0,SEA,NBA,SF,6.0,,16.8,1.0,4.8,0.207,1.0,1.5,0.667,1.0,1.5,2.5,1.2,0.7,0.5,2.0,3.0
Career,,,NBA,,177.0,,20.9,2.3,6.3,0.361,0.7,1.3,0.581,1.6,3.5,3.9,1.0,0.7,0.4,1.9,5.3
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SEA,NBA,,131.0,,24.9,2.6,7.1,0.361,0.8,1.4,0.613,1.6,3.5,4.6,1.2,0.7,0.4,2.2,6.0
2 seasons,,CHI,NBA,,46.0,,9.5,1.4,3.9,0.359,0.5,1.0,0.457,,,2.1,0.4,,,1.0,3.3
