Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1967-68,23.0,BAL,NBA,SG,50,,13.1,1.5,3.6,.401,1.2,1.8,.659,,,2.4,0.5,,,2.0,4.1
1968-69,24.0,PHO,NBA,SF,80,,19.6,3.3,7.7,.427,2.7,3.6,.763,,,3.1,1.5,,,2.4,9.3
1969-70,25.0,PHO,NBA,SF,58,,9.1,1.4,3.6,.393,1.0,1.3,.795,,,1.6,0.9,,,1.2,3.8
1970-71,26.0,POR,NBA,SF,82,,27.9,4.9,11.0,.441,4.0,4.8,.836,,,3.8,2.9,,,2.9,13.7
1971-72,27.0,POR,NBA,SF,82,,24.8,5.0,10.2,.492,3.8,4.6,.831,,,3.3,1.8,,,2.9,13.8
1972-73,28.0,TOT,NBA,"SF,SG",33,,8.9,1.5,3.6,.403,0.9,1.1,.811,,,1.7,0.7,,,1.3,3.8
1972-73,28.0,POR,NBA,SG,7,,15.3,1.9,5.1,.361,2.0,2.3,.875,,,3.0,1.1,,,2.1,5.7
1972-73,28.0,HOU,NBA,SF,26,,7.2,1.3,3.2,.422,0.6,0.8,.762,,,1.3,0.6,,,1.1,3.3
1973-74,29.0,HOU,NBA,SG,11,,10.2,0.6,2.2,.292,0.5,0.7,.750,0.3,1.2,1.5,0.5,0.3,0.0,1.5,1.8
Career,,,NBA,,396,,18.9,3.2,7.3,.444,2.6,3.2,.802,0.3,1.2,2.8,1.5,0.3,0.0,2.3,9.0
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,171,,25.9,4.8,10.4,.463,3.9,4.6,.834,,,3.5,2.3,,,2.9,13.5
2 seasons,,PHO,NBA,,138,,15.2,2.5,6.0,.419,2.0,2.6,.769,,,2.5,1.3,,,1.9,7.0
1 season,,BAL,NBA,,50,,13.1,1.5,3.6,.401,1.2,1.8,.659,,,2.4,0.5,,,2.0,4.1
2 seasons,,HOU,NBA,,37,,8.1,1.1,2.9,.393,0.6,0.8,.759,0.3,1.2,1.4,0.6,0.3,0.0,1.2,2.9
