Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,28.0,WSC,BAA,SF,58.0,,,4.7,17.0,0.279,2.5,3.6,0.69,,1.2,2.8,12.0
1947-48,29.0,WSC,BAA,SF,43.0,,,4.2,15.8,0.268,2.8,4.4,0.644,,0.8,4.1,11.3
1948-49,30.0,WSC,BAA,SF,57.0,,,4.6,14.1,0.328,3.5,4.9,0.706,,2.0,3.8,12.7
1949-50,31.0,WSC,NBA,SF,53.0,,,3.5,11.9,0.296,2.2,2.9,0.776,,1.7,3.5,9.3
1950-51,32.0,TOT,NBA,SF,44.0,,,2.3,7.4,0.312,1.3,1.8,0.716,4.5,1.9,3.1,6.0
1950-51,32.0,WSC,NBA,SF,10.0,,,1.2,4.3,0.279,0.3,0.7,0.429,1.9,0.6,1.4,2.7
1950-51,32.0,BOS,NBA,SF,34.0,,,2.6,8.4,0.317,1.6,2.2,0.743,5.3,2.3,3.6,6.9
1951-52,33.0,BOS,NBA,SF,63.0,,17.2,2.2,6.6,0.325,1.0,1.3,0.813,2.8,1.8,2.3,5.3
Career,,,TOT,,318.0,,17.2,3.6,12.1,0.298,2.2,3.1,0.711,3.5,1.6,3.2,9.4
,,,NBA,,160.0,,17.2,2.7,8.6,0.309,1.5,2.0,0.77,3.5,1.8,2.9,6.8
,,,BAA,,158.0,,,4.6,15.6,0.292,2.9,4.3,0.684,,1.4,3.5,12.0
,,,,,,,,,,,,,,,,,
5 seasons,,WSC,BAA,,221.0,,,4.2,14.2,0.292,2.6,3.8,0.699,1.9,1.4,3.4,11.0
2 seasons,,BOS,NBA,,97.0,,17.2,2.3,7.2,0.322,1.2,1.6,0.779,3.6,2.0,2.8,5.9
