Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,24.0,HOU,NBA,PF,77.0,,23.6,4.1,10.1,0.406,1.7,2.6,0.675,,,6.6,1.5,,,3.3,9.9
1972-73,25.0,HOU,NBA,PF,82.0,,20.7,3.3,8.0,0.408,1.1,1.7,0.672,,,6.0,1.1,,,3.2,7.7
1973-74,26.0,HOU,NBA,PF,77.0,,22.8,4.3,10.0,0.427,1.2,1.8,0.643,1.3,4.4,5.7,1.6,0.7,1.0,3.0,9.7
1974-75,27.0,HOU,NBA,PF,48.0,,15.7,3.3,7.3,0.447,1.4,2.0,0.723,1.1,2.3,3.4,0.9,0.4,0.4,2.4,7.9
1975-76,28.0,TOT,NBA,PF,34.0,,9.2,1.5,3.9,0.394,1.0,1.4,0.688,0.6,2.2,2.9,0.6,0.4,0.2,1.8,4.0
1975-76,28.0,HOU,NBA,PF,14.0,,12.4,2.3,5.8,0.395,0.6,1.1,0.563,0.9,2.9,3.7,0.7,0.6,0.3,2.2,5.2
1975-76,28.0,LAL,NBA,PF,20.0,,7.0,1.0,2.6,0.392,1.2,1.6,0.75,0.5,1.8,2.3,0.5,0.3,0.2,1.5,3.2
Career,,,NBA,,318.0,,19.9,3.5,8.4,0.417,1.3,1.9,0.675,1.1,3.3,5.4,1.3,0.6,0.7,2.9,8.4
,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,298.0,,20.8,3.7,8.8,0.418,1.3,2.0,0.671,1.2,3.5,5.6,1.3,0.6,0.7,3.0,8.7
1 season,,LAL,NBA,,20.0,,7.0,1.0,2.6,0.392,1.2,1.6,0.75,0.5,1.8,2.3,0.5,0.3,0.2,1.5,3.2
