Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,23.0,CHS,BAA,C,60.0,,,3.8,12.2,0.314,2.3,3.1,0.743,,1.0,3.2,9.9
1949-50,24.0,TOT,NBA,C,65.0,,,1.4,4.9,0.277,1.4,1.8,0.767,,0.6,2.2,4.2
1949-50,24.0,CHS,NBA,C,21.0,,,1.5,6.0,0.244,2.1,2.8,0.776,,0.7,2.3,5.1
1949-50,24.0,ROC,NBA,C,44.0,,,1.3,4.4,0.299,1.1,1.4,0.758,,0.6,2.2,3.7
1950-51,25.0,TOT,NBA,C,61.0,,,3.2,9.1,0.347,2.2,3.1,0.725,5.6,1.0,3.2,8.6
1950-51,25.0,ROC,NBA,C,10.0,,,1.7,6.2,0.274,0.9,1.2,0.75,2.5,0.2,2.1,4.3
1950-51,25.0,WSC,NBA,C,18.0,,,3.0,9.6,0.312,2.9,4.1,0.712,5.3,2.0,3.6,8.9
1950-51,25.0,PHW,NBA,C,33.0,,,3.7,9.7,0.38,2.3,3.2,0.731,6.8,0.8,3.3,9.7
1951-52,26.0,PHW,NBA,C,66.0,,27.0,3.1,8.7,0.354,1.8,2.2,0.784,7.5,1.3,3.8,7.9
1952-53,27.0,TOT,NBA,C,62.0,,15.0,1.3,4.7,0.267,1.3,1.6,0.806,3.8,0.6,2.0,3.8
1952-53,27.0,PHW,NBA,C,19.0,,18.8,2.1,7.1,0.291,1.4,1.8,0.794,6.3,1.2,2.1,5.5
1952-53,27.0,INO,NBA,C,43.0,,13.2,0.9,3.7,0.247,1.2,1.5,0.813,2.7,0.4,2.0,3.0
1953-54,28.0,BOS,NBA,C,9.0,,7.9,0.9,2.7,0.333,0.6,1.0,0.556,2.2,0.3,1.7,2.3
Career,,,TOT,,323.0,,20.3,2.5,7.7,0.32,1.7,2.3,0.756,5.5,0.9,2.8,6.7
,,,NBA,,263.0,,20.3,2.2,6.7,0.323,1.6,2.1,0.761,5.5,0.9,2.8,6.0
,,,BAA,,60.0,,,3.8,12.2,0.314,2.3,3.1,0.743,,1.0,3.2,9.9
,,,,,,,,,,,,,,,,,
3 seasons,,PHW,NBA,,118.0,,25.2,3.1,8.7,0.354,1.9,2.4,0.766,7.1,1.1,3.4,8.0
2 seasons,,CHS,BAA,,81.0,,,3.2,10.6,0.304,2.2,3.0,0.751,,0.9,3.0,8.7
2 seasons,,ROC,NBA,,54.0,,,1.4,4.7,0.293,1.0,1.4,0.757,2.5,0.6,2.1,3.8
1 season,,INO,NBA,,43.0,,13.2,0.9,3.7,0.247,1.2,1.5,0.813,2.7,0.4,2.0,3.0
1 season,,WSC,NBA,,18.0,,,3.0,9.6,0.312,2.9,4.1,0.712,5.3,2.0,3.6,8.9
1 season,,BOS,NBA,,9.0,,7.9,0.9,2.7,0.333,0.6,1.0,0.556,2.2,0.3,1.7,2.3
