Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22.0,DET,NBA,C,74,,21.7,3.3,7.4,.443,1.2,2.3,.524,,,7.1,0.9,,,2.5,7.7
1969-70,23.0,DET,NBA,C,81,,31.1,4.7,9.9,.476,2.4,3.8,.636,,,11.1,1.3,,,2.9,11.9
1970-71,24.0,DET,NBA,C,82,,23.5,3.8,8.5,.445,1.5,2.7,.553,,,8.5,1.1,,,2.2,9.0
1971-72,25.0,PHO,NBA,C,81,,20.0,3.2,7.4,.436,1.2,1.9,.603,,,6.7,1.1,,,2.6,7.6
1972-73,26.0,HOU,NBA,C,82,,33.1,5.1,10.5,.487,1.5,2.6,.602,,,10.6,2.0,,,2.9,11.7
1973-74,27.0,TOT,NBA,C,78,,12.1,1.5,3.1,.500,0.5,0.8,.629,1.0,2.6,3.6,0.8,0.3,0.6,1.3,3.6
1973-74,27.0,HOU,NBA,C,13,,24.1,2.5,5.3,.464,0.3,0.6,.500,1.5,4.9,6.5,1.4,0.8,1.4,2.8,5.2
1973-74,27.0,KCO,NBA,C,65,,9.7,1.4,2.6,.515,0.5,0.8,.648,0.9,2.2,3.1,0.7,0.2,0.5,1.0,3.2
1974-75,28.0,TOT,NBA,C,42,,25.4,2.8,6.2,.450,1.1,1.6,.667,2.2,5.7,7.9,2.0,0.5,1.0,3.5,6.7
1974-75,28.0,DET,NBA,C,2,,5.5,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.5
1974-75,28.0,NOJ,NBA,C,40,,26.4,2.9,6.5,.453,1.1,1.7,.672,2.3,5.9,8.2,2.1,0.5,1.0,3.7,7.0
1975-76,29.0,NOJ,NBA,C,81,,29.7,3.6,8.3,.436,1.8,2.8,.637,2.0,7.8,9.8,2.7,1.0,1.7,3.1,9.0
1976-77,30.0,NOJ,NBA,C,81,,25.7,2.4,5.9,.405,1.1,1.7,.679,2.1,5.8,7.9,2.2,0.7,1.4,2.9,5.9
1977-78,31.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,NBA,,682,,24.8,3.4,7.6,.453,1.4,2.3,.609,1.8,5.5,8.2,1.6,0.7,1.2,2.6,8.2
,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,239,,25.4,3.9,8.6,.456,1.7,2.9,.582,0.0,1.0,8.9,1.1,0.0,0.5,2.5,9.5
3 seasons,,NOJ,NBA,,202,,27.5,3.0,7.0,.429,1.4,2.1,.656,2.1,6.6,8.7,2.4,0.8,1.4,3.1,7.4
2 seasons,,HOU,NBA,,95,,31.8,4.7,9.8,.485,1.4,2.3,.598,1.5,4.9,10.0,1.9,0.8,1.4,2.9,10.9
1 season,,PHO,NBA,,81,,20.0,3.2,7.4,.436,1.2,1.9,.603,,,6.7,1.1,,,2.6,7.6
1 season,,KCO,NBA,,65,,9.7,1.4,2.6,.515,0.5,0.8,.648,0.9,2.2,3.1,0.7,0.2,0.5,1.0,3.2
