Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22.0,CHI,NBA,C,80.0,,26.7,5.3,12.0,0.441,,,,5.3,12.0,0.441,0.441,2.1,3.3,0.658,,,6.2,1.6,,,,2.8,12.7
1967-68,23.0,TOT,NBA,"C,PF",74.0,,24.2,3.0,6.6,0.456,,,,3.0,6.6,0.456,0.456,1.4,2.5,0.578,,,5.3,2.1,,,,2.2,7.5
1967-68,23.0,CHI,NBA,PF,35.0,,23.3,2.6,6.7,0.387,,,,2.6,6.7,0.387,0.387,1.3,2.3,0.561,,,4.8,2.2,,,,2.2,6.5
1967-68,23.0,LAL,NBA,C,39.0,,24.9,3.4,6.5,0.52,,,,3.4,6.5,0.52,0.52,1.6,2.6,0.592,,,5.7,2.0,,,,2.2,8.3
1968-69,24.0,TOT,NBA,PF,78.0,,17.4,1.8,4.9,0.375,,,,1.8,4.9,0.375,0.375,1.1,2.1,0.549,,,3.8,2.4,,,,1.8,4.8
1968-69,24.0,CHI,NBA,PF,52.0,,16.8,1.4,4.3,0.335,,,,1.4,4.3,0.335,0.335,0.9,1.7,0.511,,,3.7,2.4,,,,1.9,3.8
1968-69,24.0,SEA,NBA,PF,26.0,,18.6,2.7,6.2,0.431,,,,2.7,6.2,0.431,0.431,1.7,2.8,0.597,,,4.0,2.4,,,,1.7,7.0
1969-70,25.0,TOT,NBA,PF,78.0,,30.2,3.8,8.3,0.464,,,,3.8,8.3,0.464,0.464,2.4,3.4,0.719,,,6.2,2.6,,,,2.5,10.1
1969-70,25.0,SEA,NBA,PF,4.0,,17.3,3.3,8.0,0.406,,,,3.3,8.0,0.406,0.406,1.0,2.3,0.444,,,3.5,1.5,,,,1.5,7.5
1969-70,25.0,DET,NBA,PF,74.0,,30.9,3.9,8.3,0.467,,,,3.9,8.3,0.467,0.467,2.5,3.4,0.728,,,6.3,2.7,,,,2.5,10.3
1970-71,26.0,DET,NBA,PF,52.0,,23.5,2.4,5.9,0.408,,,,2.4,5.9,0.408,0.408,1.2,2.1,0.556,,,4.3,2.2,,,,1.9,6.0
1971-72,27.0,DET,NBA,PF,42.0,,14.4,1.6,4.7,0.345,,,,1.6,4.7,0.345,0.345,1.0,1.8,0.581,,,3.5,1.4,,,,1.5,4.3
1972-73,28.0,TOT,TOT,PF,38.0,,7.5,0.7,2.2,0.31,0.0,0.0,,0.7,2.2,0.31,0.31,0.2,0.4,0.471,0.4,,1.6,0.9,,,0.6,1.0,1.6
1972-73,28.0,DET,NBA,PF,21.0,,3.8,0.4,1.5,0.29,,,,0.4,1.5,0.29,0.29,0.2,0.3,0.714,,,0.7,0.3,,,,0.6,1.1
1972-73,28.0,VIR,ABA,PF,17.0,,12.1,1.0,3.1,0.321,0.0,0.0,,1.0,3.1,0.321,0.321,0.2,0.6,0.3,1.0,1.8,2.8,1.5,,,1.3,1.4,2.2
1973-74,29.0,MMT,ABA,PF,3.0,,6.7,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.7,1.7,0.4,0.0,1.0,1.0,0.7,0.0,0.0,1.0,1.7,0.7
Career,,,TOT,,445.0,,21.9,2.9,6.9,0.426,0.0,0.0,,2.9,6.9,0.426,0.426,1.5,2.4,0.623,0.9,1.7,4.7,2.0,0.0,0.0,1.3,2.1,7.4
,,,NBA,,425.0,,22.4,3.0,7.1,0.429,,,,3.0,7.1,0.429,0.429,1.6,2.5,0.627,,,4.8,2.0,,,,2.1,7.6
,,,ABA,,20.0,,11.3,0.9,2.9,0.298,0.0,0.0,,0.9,2.9,0.298,0.298,0.3,0.8,0.333,0.9,1.7,2.5,1.4,0.0,0.0,1.3,1.5,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,189.0,,22.2,2.6,6.1,0.426,,,,2.6,6.1,0.426,0.426,1.6,2.3,0.661,,,4.5,2.0,,,,1.9,6.7
3 seasons,,CHI,NBA,,167.0,,22.9,3.5,8.5,0.415,,,,3.5,8.5,0.415,0.415,1.6,2.6,0.609,,,5.1,2.0,,,,2.4,8.6
1 season,,LAL,NBA,,39.0,,24.9,3.4,6.5,0.52,,,,3.4,6.5,0.52,0.52,1.6,2.6,0.592,,,5.7,2.0,,,,2.2,8.3
2 seasons,,SEA,NBA,,30.0,,18.4,2.7,6.4,0.427,,,,2.7,6.4,0.427,0.427,1.6,2.7,0.58,,,3.9,2.3,,,,1.7,7.0
1 season,,VIR,ABA,,17.0,,12.1,1.0,3.1,0.321,0.0,0.0,,1.0,3.1,0.321,0.321,0.2,0.6,0.3,1.0,1.8,2.8,1.5,,,1.3,1.4,2.2
1 season,,MMT,ABA,,3.0,,6.7,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.7,1.7,0.4,0.0,1.0,1.0,0.7,0.0,0.0,1.0,1.7,0.7
