Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1966-67,23.0,DET,NBA,PF,35.0,,8.9,0.9,2.3,0.402,0.9,1.5,0.593,2.9,0.3,1.6,2.8
1967-68,24.0,SEA,NBA,PF,81.0,,18.4,2.6,6.0,0.436,2.1,3.0,0.689,7.4,0.8,3.4,7.3
1968-69,25.0,SEA,NBA,PF,38.0,,12.2,2.0,5.1,0.387,1.6,2.6,0.639,3.9,0.6,2.1,5.6
1969-70,26.0,SEA,NBA,C,81.0,,13.3,1.9,4.2,0.446,1.7,2.3,0.731,4.4,0.9,2.4,5.5
1970-71,27.0,TOT,NBA,PF,71.0,,10.1,1.1,2.5,0.438,1.1,1.6,0.67,3.1,0.5,2.1,3.3
1970-71,27.0,POR,NBA,PF,2.0,,10.0,0.5,3.0,0.167,4.5,5.5,0.818,3.5,0.5,1.5,5.5
1970-71,27.0,BAL,NBA,PF,69.0,,10.1,1.1,2.5,0.448,1.0,1.5,0.653,3.1,0.4,2.1,3.2
1971-72,28.0,BAL,NBA,PF,51.0,,8.3,0.8,2.2,0.381,0.5,0.8,0.615,2.5,0.3,1.5,2.2
Career,,,NBA,,357.0,,12.6,1.7,3.9,0.425,1.4,2.1,0.679,4.4,0.6,2.3,4.7
,,,,,,,,,,,,,,,,,
3 seasons,,SEA,NBA,,200.0,,15.2,2.2,5.1,0.43,1.8,2.6,0.694,5.5,0.8,2.7,6.2
2 seasons,,BAL,NBA,,120.0,,9.3,1.0,2.4,0.421,0.8,1.2,0.643,2.8,0.4,1.9,2.8
1 season,,DET,NBA,,35.0,,8.9,0.9,2.3,0.402,0.9,1.5,0.593,2.9,0.3,1.6,2.8
1 season,,POR,NBA,,2.0,,10.0,0.5,3.0,0.167,4.5,5.5,0.818,3.5,0.5,1.5,5.5
